,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.03869598,-0.01680163,0.11914805,-0.07308807,-0.11456174,-0.019896379,0.0012811862,-0.0051965797,0.008522662,0.012153858,-0.0074535925,-0.1466127,0.049373537,-0.14651151,0.085455805,0.03330803,-0.08282458,-0.09125931,0.044918347,-0.07831196,-0.021166682,0.08181885,0.123349085,-0.12812348,-0.08684013,-0.056509994,0.12543648,-0.05218096,-0.036757078,0.10642238,-0.0651453,-0.060643204,-0.115153946,-0.096476,0.017448029,0.1717533,0.02255426,-0.08734664,-0.076523766,0.018834285,-0.09295107,0.111065455,-0.081122294,-0.118149035,-0.12284773,-0.11935111,0.021668881
class 2,0.024912464,0.0025535312,0.09874316,-0.049762234,-0.0056423624,0.006574728,0.09138182,0.030534966,-0.0064302757,0.052090175,0.093191735,-0.07828028,0.049982354,-0.06494471,-0.0042020455,-0.038449895,0.0020694975,-0.033247046,-0.13556413,0.06536424,-0.122691296,-0.06463083,0.1384686,-0.03256281,-0.00050934183,-0.07728157,0.037667237,0.084393695,-0.020219084,-0.008660849,0.0550462,-0.14424855,-0.0095743565,0.018813876,0.11773997,0.07883692,-0.07519962,-0.106615536,-0.0984249,-0.045961197,-0.061199024,-0.051569246,0.02556332,-0.0030615535,0.056758408,-0.04210209,0.101018846
Average,-0.006891758,-0.007124049,0.10894561,-0.061425153,-0.06010205,-0.0066608256,0.046331502,0.012669193,0.0010461933,0.032122016,0.042869072,-0.11244649,0.049677946,-0.105728105,0.04062688,-0.0025709327,-0.040377542,-0.062253177,-0.045322895,-0.006473858,-0.07192899,0.00859401,0.13090885,-0.08034314,-0.043674737,-0.06689578,0.081551865,0.016106367,-0.028488081,0.048880763,-0.005049549,-0.10244587,-0.06236415,-0.038831063,0.067594,0.1252951,-0.02632268,-0.09698109,-0.08747433,-0.013563456,-0.07707505,0.029748105,-0.027779486,-0.060605295,-0.03304466,-0.0807266,0.061343864
