,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.11844312,-0.051800653,-0.11443964,-0.02511748,0.08618899,-0.11366314,-0.04196923,0.1075864,-0.0060574985,0.04640771,-0.13512853,-0.09452412,0.03491922,-0.082421154,0.05935503,0.06519597,-0.040871948,0.020630362,-0.048822466,0.09498321,0.13151848,0.13059354,-0.05060665,0.11740533,0.117217295,-0.072899714,-0.14158754,-0.102729075,-0.110678926,0.10199534,-0.043994278,0.027342645,-0.1113503,0.09514171,0.08349882,-0.09661249,-0.091648094,0.048587203,0.04564291,0.032017488,-0.029974781,-0.10199689,-0.04887029,-0.15200917,-0.09893012,0.023927396,-0.0010373194
class 2,-0.09439136,0.07525984,0.037345618,0.036914017,-0.0006292883,-0.056402642,-0.0180094,0.13572833,0.11982988,0.058378763,0.041252322,-0.07172413,0.13454252,0.06832262,-0.03358019,0.064064644,0.064225055,-0.0014883406,-0.11298985,-0.03865096,-0.09006456,-0.10696267,-0.06473987,0.025840467,0.109218076,-0.033991095,0.01401141,-0.07863274,0.06798533,0.08528588,-0.12054543,-0.09241074,0.005835942,-0.13155675,0.110865735,0.024429483,0.07439177,0.0590761,-0.08794315,0.100723535,0.15407842,-0.039184596,-0.00059771165,-0.03177413,0.048048977,-0.05043279,0.012308102
Average,-0.10641724,0.011729594,-0.03854701,0.005898269,0.042779848,-0.08503289,-0.029989313,0.121657364,0.05688619,0.052393235,-0.046938103,-0.08312413,0.08473087,-0.0070492662,0.01288742,0.06463031,0.011676554,0.00957101,-0.08090616,0.028166126,0.02072696,0.011815432,-0.05767326,0.0716229,0.11321768,-0.053445406,-0.063788064,-0.09068091,-0.021346796,0.09364061,-0.082269855,-0.032534048,-0.052757178,-0.01820752,0.097182274,-0.036091503,-0.0086281635,0.05383165,-0.021150121,0.06637051,0.06205182,-0.07059074,-0.024734002,-0.091891654,-0.025440572,-0.013252697,0.0056353915
