,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.06451573,-0.059556454,0.042856097,-0.0045475983,0.029055802,-0.018731533,0.045258768,-0.07598231,-0.114983,-0.019652436,0.11752106,-0.01354077,-0.09998616,-0.07349582,0.03667122,-0.05411986,-0.003783038,0.06641959,-0.02035093,0.021155616,0.11278203,0.11871227,0.10344105,0.06857368,-0.089820966,-0.07532053,0.05470399,-0.1269714,-0.02334614,-0.06844737,-0.08758934,0.11569949,-0.012501878,0.08336999,-0.09782735,-0.023384238,-0.04334632,0.026717702,-0.032090217,0.03440719,0.0067317854,0.06972146,0.08436512,-0.118397444,-0.0011880381,0.045123413,-0.14729927
class 2,0.052927267,-0.027599402,-0.08183432,0.070784576,0.09331443,-0.071604684,0.048291367,-0.17026637,0.11245083,-0.20696433,0.06952991,0.010836398,-0.011782239,-0.10466499,-0.0051107444,0.13827455,0.020384284,-0.02352226,-0.10286396,-0.045055784,0.121407755,-0.07697106,0.1580282,0.024688348,0.18504964,0.1163236,0.104720995,-0.12196233,-0.10309319,0.10409469,0.015309818,0.07068087,0.033507988,0.13962208,-0.049545698,-0.053016182,0.030016612,0.037204217,-0.039638482,-0.08296491,0.10681514,-0.13173704,-0.03861454,-0.08000543,0.041913636,-0.008910553,-0.0026756744
Average,0.058721498,-0.043577928,-0.019489113,0.03311849,0.061185118,-0.04516811,0.046775065,-0.123124346,-0.0012660846,-0.113308385,0.093525484,-0.0013521858,-0.055884197,-0.08908041,0.015780238,0.042077348,0.008300623,0.021448664,-0.061607443,-0.011950084,0.11709489,0.020870604,0.13073462,0.046631016,0.047614336,0.020501535,0.079712495,-0.124466866,-0.06321967,0.017823663,-0.03613976,0.09319018,0.0105030555,0.11149603,-0.073686525,-0.03820021,-0.0066648535,0.03196096,-0.03586435,-0.02427886,0.05677346,-0.03100779,0.02287529,-0.09920144,0.020362798,0.01810643,-0.07498747
