,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.033179145,0.1076975,0.023434741,-0.08650043,-0.14247563,-0.09069264,0.076221645,-0.13023694,0.04010331,-0.069286235,-0.03811409,0.13138834,0.10656076,0.12169194,0.120416336,0.14516264,0.020807909,0.09150323,0.11498535,-0.14544919,0.1147533,0.09249016,0.012918642,-0.04762098,0.03136139,-0.015427024,-0.026845062,-0.09201915,0.02108051,0.13314009,0.047847006,-0.016984973,0.09475632,0.09058626,0.110073976,-0.049751054,0.061667185,-0.05147304,0.006413567,0.059697796,-0.07405061,0.029689979,-0.10436922,-0.074739076,0.12743641,0.0401353,-0.017127099
class 2,-0.0014806348,-0.009606412,0.038470734,-0.046900265,-0.11130656,0.032202896,-0.106039725,0.048718795,0.043066494,0.043448128,-0.048861213,0.111611694,-0.11700321,0.07346209,-0.046969965,0.07662608,-0.07774941,-0.091319226,0.02164559,0.033102777,-0.06172615,-0.0895382,-0.02375654,-0.003338982,-0.1309676,-0.03700686,-0.07171716,0.05900871,-0.099610485,-0.0012564098,0.07571674,-0.029180743,-0.121111535,0.036545407,-0.054524377,0.09927467,0.14924413,-0.123387605,-0.071228184,0.019633856,0.10096959,-0.10130718,0.08487065,0.05507702,0.094897546,0.08120456,0.06953558
Average,0.015849255,0.049045544,0.030952737,-0.06670035,-0.1268911,-0.029244872,-0.01490904,-0.04075907,0.0415849,-0.012919053,-0.043487653,0.121500015,-0.0052212253,0.09757702,0.036723185,0.11089436,-0.02847075,9.2003495e-05,0.06831547,-0.056173205,0.026513575,0.0014759786,-0.005418949,-0.02547998,-0.049803108,-0.026216941,-0.04928111,-0.016505219,-0.03926499,0.06594184,0.061781876,-0.023082858,-0.013177607,0.063565835,0.0277748,0.024761809,0.10545566,-0.08743032,-0.03240731,0.039665826,0.013459489,-0.0358086,-0.009749286,-0.009831028,0.111166984,0.060669933,0.026204243
