,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.04107027,0.010484816,-0.05764212,-0.021659657,0.10972417,-0.18509562,0.08137519,-0.11117097,0.14593856,0.1667792,0.017913796,-0.2280316,0.11982791,-0.15869883,-0.0016118336,0.09402974,-0.26638794,0.08063157,-0.07232003,0.16210453,-0.059928704,-0.16036038,-0.16712606,-0.24407296,-0.35768753,-0.07322006,0.05335189,-0.09321488,0.29077607,-0.072468445,-0.02058078,-0.008969619,-0.108647116,0.08633431,0.051041946,-0.047573734,-0.046809137,0.074659936,-0.026279377,0.04098279,0.04351888,0.12883475,0.017433867,-0.10881387,0.21136719,-0.17575385,-0.13558294
class 2,-0.00897255,-0.14784172,-0.0548403,0.033033863,-0.2766624,0.22566237,0.16220418,0.056865,-0.295224,-0.061739407,-0.2072073,-0.03907055,-0.13935518,0.18127614,-0.10863494,-0.041611973,0.1700154,0.04162632,-0.083441965,-0.17215437,-0.051970355,0.099928364,-0.055191576,0.00902802,0.24072179,0.124651045,0.11694149,0.20182504,-0.17176749,0.010124257,0.018583016,0.019997487,0.26608747,-0.018066777,-0.06788755,0.014888133,-0.10932967,0.049857732,0.059936192,0.14557539,-0.17558464,-0.23563614,0.10365945,0.23406087,-0.13509019,0.18454029,-0.1213823
Average,-0.025021411,-0.06867845,-0.05624121,0.0056871027,-0.08346912,0.020283371,0.12178968,-0.027152985,-0.074642725,0.0525199,-0.09464675,-0.13355108,-0.009763636,0.011288658,-0.05512339,0.026208883,-0.048186272,0.061128944,-0.07788099,-0.0050249174,-0.05594953,-0.030216008,-0.11115882,-0.11752247,-0.05848287,0.025715493,0.08514669,0.05430508,0.059504293,-0.031172093,-0.0009988816,0.005513934,0.07872018,0.034133766,-0.008422803,-0.0163428,-0.078069404,0.062258832,0.016828407,0.09327909,-0.06603289,-0.053400695,0.06054666,0.0626235,0.0381385,0.00439322,-0.12848262
