,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.07170611,0.044828407,-0.08533603,0.00056254934,0.1192799,0.018502321,0.019142669,-0.09969598,0.0016699034,0.041445863,-0.0857855,0.00070256693,0.0843405,0.028867325,-0.14044663,-0.019114511,0.003493553,-0.12941396,-0.013105703,0.048215225,0.14297612,-0.02590835,-0.07834205,-0.08907621,-0.11267426,-0.11840455,0.00079938775,-0.101127066,0.08505827,0.14150621,-0.06416752,0.054916624,-0.03444535,0.08656899,0.012301772,0.12209601,0.15400323,-0.097570755,0.006695153,-0.10387969,0.14221863,0.12836263,0.04924021,0.07427585,0.1318257,-0.029432897,-0.08409687
class 2,-0.08649441,0.061699443,-0.0544923,-0.033356637,0.017541185,-0.08939525,-0.08947385,0.026239404,0.09001234,0.08836512,0.1353965,0.007224062,0.09449818,0.07357905,0.035252184,-0.12861177,-0.07687926,-0.121714495,0.068751015,0.011714798,-0.004535552,0.14102486,0.12608412,-0.10284662,0.13899694,0.018594163,0.10876203,0.14697684,-0.13118294,0.08372373,0.06305536,0.06969223,0.002394647,0.15023944,-0.09453061,0.03866372,0.09134861,0.034259707,-0.0098373685,-0.058402173,0.10318104,0.07828851,-0.105199195,-0.0857914,0.103103034,0.12800832,0.07996226
class 3,-0.09110165,0.05593519,-0.0035573957,-0.03410178,0.070370786,0.102523394,0.017375095,0.0097058145,-0.060740817,0.018950114,0.104247406,0.06433154,-0.10301316,-0.0423959,-0.12895504,-0.08130198,0.0020864457,-0.117292106,-0.08474238,-0.004158328,0.07989202,0.100461334,-0.09582946,-0.06649304,-0.14930439,-0.15224083,-0.14641927,0.11275953,-0.08810284,0.066279955,-0.0030907714,0.05217938,0.016569398,-0.034041047,0.1262067,0.003634698,-0.03537654,0.115682535,0.12310214,-0.040172394,0.041490052,0.101283155,0.025906213,-0.0035127737,-0.019318016,0.0048625544,-0.088634044
class 4,0.11243285,0.014167196,-0.040767353,-0.13394052,-0.1415165,0.0636995,0.04009426,-0.079588406,0.017562285,-0.1290655,0.012445172,0.03674335,-0.052865695,-0.12088333,0.024671433,0.1323146,-0.09078505,0.12100179,0.07357061,-0.1306879,-0.05807359,-0.13779786,0.007110558,-0.13532226,-0.033864055,0.05874376,-0.1166087,0.015116217,-0.14175193,0.022026213,-0.09476762,0.13528806,-0.14024203,0.10487674,0.11718562,-0.015951196,0.14356016,-0.1270966,0.14752714,0.087582454,-0.03521509,-0.12461866,0.081148505,0.08123966,0.14079516,0.10709739,-0.12133411
Average,0.0016357265,0.044157557,-0.04603827,-0.050209098,0.016418844,0.02383249,-0.0032154573,-0.035834793,0.012125929,0.0049239025,0.04157589,0.02725038,0.0057399543,-0.015208214,-0.052369513,-0.024178416,-0.040521078,-0.061854698,0.011118385,-0.018729053,0.04006475,0.019444995,-0.010244207,-0.09843454,-0.03921144,-0.04832687,-0.038366638,0.04343138,-0.068994865,0.07838403,-0.024742639,0.078019075,-0.038930833,0.07691103,0.04029087,0.037110806,0.08838387,-0.018681277,0.06687177,-0.028717954,0.06291866,0.04582891,0.012773933,0.016552836,0.08910146,0.052633844,-0.053525694
