,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.09747217,-0.051377933,0.002952962,0.069408655,-0.03709446,-0.059807736,0.12266487,-0.037631862,0.11537754,-0.056131613,0.117610164,0.011275782,-0.06407397,0.12480275,0.11329169,0.020836152,-0.06761752,-0.066503145,-0.10246057,0.09916633,0.07102058,-0.097564146,-0.06403912,-0.1331714,-0.04578717,0.14120425,0.0030576433,-0.07391333,-0.056803875,0.07583851,0.027700376,0.042271093,0.09700161,-0.14182025,0.051608536,0.032504823,-0.12960713,-0.07643319,0.083139844,0.043740466,0.07818967,-0.039478596,-0.06753959,0.034951247,0.031998705,-0.0007977646,0.13483737
class 2,0.12981349,-0.009605523,0.06905346,0.08051458,0.032796226,-0.014217227,-0.1253881,-0.097847015,0.075861916,0.12021691,-0.033131603,-0.09402593,-0.07401408,-0.054262206,-0.06804261,-0.0051745535,0.006781521,0.043521207,-0.028239988,0.007313019,0.09628238,-0.06498615,0.0056560496,0.035573788,-0.009577346,0.004931036,-0.044325136,-0.13845648,-0.06856001,-0.03824158,0.10397689,0.12719098,-0.14632592,-0.056952603,-0.08075652,-0.11991141,0.03752234,0.11690952,0.13101324,-0.060233217,0.035256498,-0.101030275,0.11273369,-0.027093155,0.075531065,0.00076781376,-0.092097074
class 3,-0.08998392,-0.09177915,-0.09007596,0.010120125,-0.01144854,-0.016427286,0.14662215,-0.09954828,-0.03896802,0.09207378,0.013526606,-0.036582794,-0.022154387,0.045745354,0.013897355,-0.06322921,0.060933836,0.11932636,-0.099892125,0.04645742,0.010685927,-0.0018537451,-0.012307281,-0.057494413,-0.069425,0.04883019,0.0151867485,0.035357475,0.08272374,-0.07900018,-0.039222352,0.014703021,0.08149762,-0.040874932,0.111695886,0.082604825,0.014890093,0.1226174,0.027790524,-0.02012796,0.024743857,-0.016503422,-0.06591981,-0.03577048,0.03897643,-0.07421281,-0.053887468
class 4,0.09962791,-0.010309336,-0.04217418,0.078521684,-0.022841362,0.009653398,-0.10114705,-0.12699068,0.11999601,0.057876945,0.016055342,-0.099502325,0.011557639,0.14532495,0.036275867,-0.10933117,0.15821752,-0.09772515,0.011196705,0.13447623,-0.04026081,-0.036810838,0.021629859,-0.08629222,-0.1096494,0.17580332,-0.092267945,-0.030452749,-0.101796344,0.03732622,-0.089233674,-0.11428118,-0.080311604,0.1300807,-0.008481481,0.041371357,0.0906184,0.05657533,0.052392043,-0.13450152,0.061969485,-0.0146883475,-0.011777115,-0.084013686,-0.01343503,0.030206736,-0.09669075
class 5,-0.11295386,0.095144935,-0.038445767,-0.05729006,0.026243506,-0.08633901,-0.05324654,-0.094983466,-0.1353134,-0.041009877,-0.03296695,-0.10634398,0.12865289,-0.10930171,0.060296632,-0.03495569,0.093164615,0.1175343,0.12158212,0.1240909,0.066974,-0.05234931,0.124547146,0.09003883,0.1092855,0.062174477,-0.13675204,-0.11621064,0.049721316,-0.049776502,0.0040513286,0.07608731,0.1053961,0.013890375,-0.07028858,-0.05214027,-0.11938126,-0.01422442,-0.07641647,-0.0089299325,-0.12745842,-0.004592413,0.10532525,-0.0049455888,0.08848222,0.035101287,0.036064383
class 6,0.04939079,-0.023038046,-0.034182396,0.0910662,-0.03835293,0.09706321,0.104474865,0.04964947,-0.1172814,0.041094344,0.020707076,0.122232914,0.022181755,0.009866547,-0.065678775,-0.0888272,0.011619093,0.009968968,-0.07007895,-0.08064927,0.03353042,-0.027112039,-0.03603834,-0.053800356,0.03349681,0.1136811,0.095871225,0.11420541,-0.061275598,-0.09523363,-0.033555686,-0.04378487,-0.08186102,-0.062413745,-0.007107479,-0.08225181,-0.10879375,-0.027783137,0.094456986,0.08109409,-0.0026366373,-0.13714893,-0.09058925,0.12249624,-0.13676599,-0.08208057,0.091708206
class 7,0.08346536,-0.036912385,0.12613772,-0.007877508,-0.08906275,-0.0057251076,-0.035947762,-0.103478454,-0.08206094,-0.0421092,-0.06077016,-0.04346422,-0.1366468,-0.07092238,0.10692764,-0.13017055,-0.13146581,-0.1474891,0.13865909,-0.14257292,-0.0313467,0.12426123,-0.13549024,0.09364345,-0.07437674,0.05290293,-0.109012894,-0.09147157,-0.04967953,-0.03333216,-0.094427206,0.053876895,-0.06622001,0.0910009,0.009081884,0.09591499,0.015153205,-0.1463143,0.057832617,0.015857657,-0.088950604,0.034391567,-0.09900373,0.061571978,0.098451,0.002508382,0.053377103
Average,0.008841087,-0.018268207,-0.0009620232,0.037780527,-0.019965759,-0.010828537,0.008290348,-0.072975755,-0.008912616,0.024573045,0.005861496,-0.03520151,-0.019213853,0.013036189,0.028138254,-0.058693174,0.018804753,-0.0030523646,-0.0041762465,0.02689739,0.029555112,-0.022344997,-0.013720274,-0.015928902,-0.023719052,0.085646756,-0.03832034,-0.04299169,-0.029381473,-0.026059905,-0.017244332,0.022294749,-0.012974746,-0.00958422,0.0008217492,-0.00027249966,-0.028514015,0.0044781715,0.052886967,-0.011871487,-0.0026980203,-0.039864343,-0.016681505,0.009599508,0.026176915,-0.012643847,0.010473111
