,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.11186917,-0.1095402,0.067017525,0.11505143,-0.07713025,-0.035874374,0.116310365,0.096344784,-0.02584412,0.06054113,-0.1377793,-0.037492555,0.02698136,-0.07729096,-0.14322577,0.14442676,-0.09548276,0.05032806,0.017833332,0.0561599,0.016845483,0.12229062,0.1528964,-0.12667681,0.08420759,0.1483605,-0.06933321,0.1104576,0.12775728,-0.10711837,0.11753784,-0.06468718,-0.07844131,0.098207384,0.056254707,-0.064803876,0.092057735,0.07083396,-0.08848948,0.11311762,0.071037136,-0.06690616,0.00612326,0.11662809,0.027510023,0.048837677,0.12808289
class 2,0.15183957,0.006916703,-0.12209739,0.1297056,-0.08796316,-0.05730759,0.08270053,0.023153175,-0.09927975,-0.06721227,0.11835706,-0.07108134,0.1266743,0.1221768,-0.106396005,0.06032201,0.0726217,-0.062979504,0.112010635,-0.08801876,0.004524445,0.1426871,0.0771756,0.040803865,-0.06580619,-0.0017747248,0.03787704,0.015723739,-0.06334664,-0.02326035,-0.08698185,0.09913138,-0.0019071143,0.042010862,0.10795565,0.07804072,0.10518276,0.0018616508,-0.13063851,-0.012822849,0.13459748,-0.012715947,0.068474285,0.10405498,-0.05409707,-0.008837798,0.031837106
class 3,-0.15166153,-0.0537358,0.055931352,0.112941615,-0.022079967,0.07590566,0.041360993,-0.10183635,-0.11049886,0.04254616,0.005832919,0.13314566,0.12688793,-0.037824497,-0.14676286,0.030022232,0.008976362,-0.04900378,0.11395819,-0.12459998,0.08581259,-0.00674137,-0.05824016,0.09359333,0.105133876,-0.09584587,-0.047624495,-0.059738785,0.0020685396,0.04532993,0.051072136,0.026759012,0.030389369,0.124854505,-0.017813433,-0.040896155,-0.054787055,-0.0061387224,-0.12830646,-0.03270087,0.092284665,-0.009700073,-0.056791343,0.004182853,0.08318082,-0.11599324,0.09897913
class 4,0.024735577,-0.02667267,-0.06745028,-0.09018047,0.02591797,0.08078253,0.002718565,0.049322862,-0.12664956,-0.06810288,0.09632393,-0.13319616,0.051195942,-0.047480322,-0.13219304,-0.094575204,-0.12859508,-0.05720689,0.017367806,-0.11363532,0.006155373,-0.123487025,0.051808357,0.08679179,-0.010072346,0.080324724,-0.08755639,0.11301429,0.07602749,0.014662443,0.10867532,-0.059638824,0.033292495,0.10840891,-0.1459893,-0.11068905,0.120107226,0.017960684,-0.05211629,0.12203971,0.11925134,-0.055242766,0.12689306,-0.10072352,0.129776,-0.057306923,-0.103596576
class 5,-0.050466366,-0.011788989,0.09234738,0.13899727,-0.0949308,0.01273372,0.057460774,0.14468935,-0.13291544,-0.0932594,0.0912153,0.10341619,-0.04312453,-0.015999623,-0.11968062,0.1313423,-0.073988505,-0.08678572,-0.11524612,0.086540654,0.03306834,0.017952494,-0.11952828,0.098756164,0.08883473,-0.10522423,0.06160635,0.09013172,-0.12488573,-0.054491777,0.049144324,0.124603815,-0.031061966,0.058303643,0.0946682,-0.025837813,-0.034052975,-0.02740076,0.11617105,-0.07534209,-0.0034386783,0.0012941466,-0.09996573,-0.09982683,-0.087229386,-0.13216673,0.11169882
Average,0.017263286,-0.038964193,0.0051497193,0.08130308,-0.051237237,0.0152479885,0.06011025,0.04233476,-0.09903754,-0.025097454,0.034789983,-0.0010416418,0.057722997,-0.01128372,-0.12965167,0.05430763,-0.043293655,-0.041129567,0.02918477,-0.036710702,0.029281247,0.030540366,0.020822385,0.038653664,0.040459532,0.005168079,-0.021006143,0.053917713,0.0035241887,-0.024975624,0.047889553,0.025233641,-0.009545705,0.08635707,0.019015165,-0.032837234,0.04570154,0.011423362,-0.056675933,0.022858303,0.08274639,-0.028654158,0.008946707,0.004863113,0.019828077,-0.053093396,0.053400278
