,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.20576744,-0.1536888,-0.12192169,0.13676442,-0.029607622,-0.18403646,0.03911178,0.1832345,0.07176754,0.194859,-0.1793903,0.0075728707,-0.20988835,-0.077387266,-0.1475554,0.105023146,0.12072479,-0.18634614,-0.20000803,-0.19434549,0.089540556,0.18540776,0.36890224,0.063002154,-0.23651618,0.072590776,-0.3243796,-0.020147521,0.03172387,0.21777399,0.07344595,-0.072465986,-0.19507463,0.3118104,-0.106658556,-0.069862604,0.049114164,0.017640268,-0.18331924,-0.089076914,-0.060663767,0.09144664,-0.030997507,-0.08648179,-0.040349264,-0.37281674,0.1300032
class 2,0.01607827,0.021877058,-0.18221948,-0.1675117,0.10014197,-0.2301024,0.068771005,-0.07570711,-0.19793081,-0.14882776,0.076511495,0.64049184,-0.071597405,-0.13315952,-0.06730782,-0.04483246,0.18453583,0.2625674,-0.08379035,-0.17592958,-0.26250154,0.19110171,-0.21243425,0.3311641,0.03909715,-0.06672389,0.1584188,0.035469495,0.10040466,0.06910359,-0.25800994,0.21010953,0.0039446168,-0.024872433,0.035072625,0.23518057,0.14007229,0.005972061,-0.09900569,-0.1944109,-0.3419677,-0.06766737,-0.20328398,0.09777328,0.11584816,0.15659878,-0.025690638
class 3,0.050663296,-0.03438494,0.20298149,-0.07021141,0.01523293,-0.012178264,0.007771456,0.058627598,0.17977838,-0.11487207,0.27858028,0.11097184,0.09367809,0.0031040271,0.08596674,-0.14247441,0.2900706,-0.27255374,-0.34155777,-0.14568102,0.02281107,0.15010767,0.16667202,-0.12908123,0.22133763,-0.13486624,0.38440797,-0.1138878,0.16461337,-0.061215334,-0.101929255,0.04529316,0.13266526,-0.30062667,-0.06266616,0.095939144,-0.3806597,-0.0030604522,0.013322882,-0.08418411,-0.082602225,-0.2006328,0.26964435,-0.06861379,-0.09166516,-0.063654415,0.013108225
class 4,-0.26219174,-0.0433056,-0.14911763,0.08363247,0.12711842,-0.19688615,-0.040735032,0.079469025,0.22526486,0.2043096,-0.36222258,0.15045333,-0.08565605,0.08063804,0.34706363,-0.01455664,-0.31639934,0.40174675,0.08813599,-0.012281167,-0.2873393,-0.09516799,0.43526042,-0.17530419,-0.042660907,-0.56374365,-0.12268224,0.16095087,0.02023132,0.084716864,0.10474614,0.03789963,-0.21438335,-0.17847414,0.11926932,-0.02820988,0.33619565,-0.08383047,0.20151031,-0.23721448,0.17184153,-0.11603779,0.32330742,-0.100265905,0.13438852,-0.37684074,-0.10105915
class 5,0.08337437,-0.21422495,0.36547956,-0.10916077,-0.20886014,-0.045304134,0.3224329,0.21845604,-0.06305049,-0.05492648,-0.08877501,-0.29441765,-0.086207286,0.10870209,0.23975655,-0.389956,0.007217906,-0.17628922,-0.045097675,0.32571524,-0.3667492,-0.6290918,-0.35955635,0.06963243,-0.15076523,0.6236335,0.16952725,-0.42828566,0.26888898,0.15993498,0.1315963,-0.0659682,0.040585928,0.5921014,-0.07646391,-0.048909616,0.14493537,-0.5921006,-0.33474523,-0.12000132,0.17529587,-0.2154244,0.04850528,0.15340982,0.20598887,0.17463918,0.1074222
class 6,0.07016747,-0.024611194,0.09431243,0.0061617037,0.13331476,-0.025221579,0.08569203,-0.16075261,-0.1631577,0.10168524,-0.012300163,-0.27489522,-0.065469615,0.116522275,-0.093707725,-0.06413236,-1.0014558,-0.051463384,0.1741595,-0.020777969,-0.05788428,0.39444152,-0.7271483,0.046489663,0.4411363,0.33208963,0.12056829,-0.22758871,-0.036388997,-0.075178586,0.123478636,0.28541613,-0.33538482,0.2724575,-0.18263353,-0.35185573,-0.6632406,0.46293643,0.0042254776,0.39287618,0.12550305,0.006057722,-0.18346108,0.28608686,0.18416172,0.48115283,0.23128526
class 7,-0.15675391,0.07955963,0.38943392,-0.11044853,-0.18696466,0.11619201,0.03289978,0.10306183,-0.07176288,-0.091267884,0.24373771,-0.26124397,-0.0761996,-0.1142858,0.08269097,0.034623627,0.5232611,-0.1853622,0.2702582,0.12180354,0.61448574,0.123540774,0.092495576,-0.42223486,-0.079966076,-0.3701017,-0.38407573,-0.082691625,-0.43039176,0.1930308,-0.20400888,-0.31964633,0.099769324,-0.1809548,0.1889053,0.20854141,-0.3609825,0.35921067,0.6289995,0.16543695,-0.06326496,0.10390641,-0.2482185,-0.019431705,-0.06323712,0.08368141,-0.04484669
class 8,-0.020606417,-0.019976487,-0.11835332,-0.015062031,-0.045763716,0.13405697,-0.01520927,-0.21416107,0.34142682,-0.11332129,0.12258201,0.09240081,0.14111142,0.054460127,-0.07523701,0.11033766,-0.05291066,-0.050050188,-0.043530945,-0.4072817,0.15053305,-0.026595676,0.057595633,0.053435612,-0.08372336,0.35503286,-0.018479021,0.15474449,0.15590684,-0.20956878,0.019391075,-0.100425445,0.14906114,-0.06643611,0.006952011,0.059555385,-0.103392474,-0.043081358,-0.17899585,-0.08874734,-0.22308262,-0.02332484,0.14645219,-0.06326863,-0.31080535,0.13850458,-0.104100175
class 9,-0.042123083,0.0055702277,-0.19183487,-0.052480035,-0.013353035,0.12409909,-0.116930164,-0.2288026,0.16691487,0.017051347,-0.16816661,0.04421658,-0.05898589,-0.045683533,-0.27854717,0.14343293,0.21252945,0.16753872,0.13065293,0.1010706,0.2567,-0.104110494,0.17727834,-0.016895983,0.20853408,0.18583722,-0.15235731,0.27296746,-0.15539907,-0.14962903,-0.042983755,-0.15184616,-0.207562,-0.089470744,0.19004324,0.03083626,0.49671486,0.061931945,-0.0060273595,-0.01047505,0.008050865,-0.1405935,-0.2025046,-0.4491904,-0.069680646,-0.002917947,-0.056591664
Average,-0.006180479,-0.04257612,0.03208449,-0.03314621,-0.012082343,-0.035486765,0.042644948,-0.0040638233,0.05436118,-0.00059003383,-0.00993813,0.02395005,-0.046579406,-0.0007877271,0.010346972,-0.0291705,-0.0036029087,-0.010023556,-0.0056420234,-0.04530084,0.017732898,0.02107039,-0.00010385116,-0.019976929,0.035163715,0.04819428,-0.018783513,-0.027607666,0.013287685,0.02544094,-0.017141527,-0.014625963,-0.058486503,0.0372816,0.012424481,0.014579437,-0.03791589,0.020624273,0.0051071956,-0.029532995,-0.032321107,-0.062474437,-0.008950715,-0.027775807,0.0071833017,0.024260769,0.01661451
