,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.10095092,0.023933867,0.099608384,0.054052565,-0.070943736,0.11129655,0.037499268,0.04749578,0.025071468,0.120921716,0.049999073,-0.025330875,-0.03217904,-0.10418644,0.044812154,-0.017524164,-0.019923108,0.001111296,-0.052939072,-0.09663534,-0.09209237,-0.121584564,0.16710493,-0.12051033,-0.07192714,0.042315006,-0.0073102587,0.07526956,-0.08547186,0.113212,0.11929574,0.021106346,-0.07191344,-0.111003816,0.08538345,0.014041173,0.11265445,-0.035178542,-0.05666234,0.14143632,0.086149804,-0.08875476,-0.09349455,-0.059086785,0.098806344,-0.026051406,-0.022187313
class 2,-0.008126098,0.06311416,0.06774147,-0.21833141,-0.06529755,-0.021011868,-0.14387275,0.0218679,-0.14045109,-0.108979195,0.1075334,0.03651082,-0.24565639,-0.03311501,0.021482334,-0.13472506,0.045170214,-0.020273874,-0.057686754,-0.04186897,0.10650746,-0.12822084,-0.010524319,-0.088016056,-0.024430072,-0.0067058764,0.095943645,0.031076832,0.011485861,-0.05314406,0.08245702,-0.07922084,-0.2263641,-0.09947799,0.028860802,0.029812748,-0.01993635,0.025481109,0.03926242,-0.100767195,-0.15675455,-0.03377292,-0.043185025,-0.02477771,0.03612276,-0.022157507,-0.08265259
class 3,0.094369195,0.15392165,0.06891693,0.37365618,-0.039889935,0.1822513,0.008648507,0.103383854,-0.30019763,-0.15433486,-0.14225675,-0.07294051,0.0014725095,0.024340691,-0.054292496,-0.08875095,0.09167447,-0.03425348,0.027806502,-0.1670261,-0.1027252,-0.035024866,-0.103274375,0.074556045,-0.040064428,-0.058384385,0.15104382,-0.10815358,-0.14936037,-0.015231612,0.17189634,0.03327362,0.05122531,-0.046116244,0.0004208629,-0.15844668,0.04699106,0.029726554,-0.025262007,-0.055852294,0.057897203,-0.17114262,-0.10811427,0.0013689769,-0.119568564,0.2080536,0.013263182
class 4,0.07595243,-0.016969344,-0.018923823,-0.04112366,-0.0037040815,-0.15714592,0.0162908,0.19582802,-0.098577015,0.07034416,0.21424817,-0.025193764,-0.039075486,0.12106781,0.16227867,0.06578102,-0.10665949,-0.13346477,-0.16295289,0.025937716,-0.02517547,0.02770564,0.09025019,0.1807786,0.053152747,-0.058442846,-0.25006774,-0.046343092,0.16375628,0.07149518,0.03835306,-0.101872444,0.06654391,0.20319387,-0.04745734,0.17542875,0.19985561,-0.0050375583,-0.1444205,-0.016232777,0.013398488,-0.21845171,0.06033267,-0.042080835,0.11282793,0.10123141,-0.08221744
class 5,-0.17417634,0.106463954,-0.118161604,0.1242437,0.061765306,-0.090190895,0.10267055,0.045112602,0.07701957,-0.08880041,0.049214512,-0.13752994,0.19747674,0.02649629,-0.09328829,0.17337482,-0.1263701,-0.057785098,0.0650907,0.08420314,0.10881722,-0.1000165,0.13194181,-0.22174506,-0.034068026,0.05324705,0.079366826,0.13127844,0.17757672,0.16559386,-0.120950885,0.081388064,0.028392052,-0.039942298,0.15581839,0.007864966,-0.1357972,-0.297054,0.042970337,-0.28389543,0.066788696,0.1647635,0.28762633,-0.10875393,-0.005173737,0.02561201,0.053605124
class 6,0.10756324,0.046694156,0.31633267,-0.12981929,0.2458244,0.2562174,0.029221818,-0.17025253,0.1613689,0.3814796,-0.21207651,0.08872615,-0.42080322,-0.1178941,-0.09318813,-0.42022067,-0.263833,-0.03741236,-0.058556847,0.15754451,0.07766493,-0.0767838,-0.10889257,0.03537631,0.052776743,0.03076631,-0.03465951,-0.18567382,-0.055732377,-0.057137813,0.03196174,0.2546104,-0.14218713,-0.0017328986,0.010581777,-0.3029141,0.21562311,0.16358784,-0.023930527,0.24106401,-0.13424137,0.057525128,0.08416823,-0.0006304867,0.040961556,0.04924638,-0.16014998
class 7,0.03664345,-0.1849079,0.12833704,-0.10493345,0.050056554,0.028713426,0.14407241,-0.17838633,-0.044161282,-0.14740874,0.025612533,-0.074590564,-0.030984508,-0.0037438793,0.18412744,0.1522704,-0.02070525,-0.006830984,0.00040051804,0.04147518,-0.0138896275,-0.09658499,-0.037617963,-0.13551196,-0.082450286,-0.0630766,0.0859928,0.08354871,-0.075403936,-0.12863722,8.9017165e-05,0.017552335,-0.14191748,0.08133477,-0.017537612,-0.08192529,-0.09874233,-0.062825754,0.16782251,0.055014364,0.119364396,0.15932892,-0.06499991,-0.008878019,0.18214242,0.04879933,0.09110159
Average,0.033310972,0.027464366,0.07769301,0.008249233,0.025401562,0.044304285,0.027790086,0.009292756,-0.045703866,0.010460324,0.013182061,-0.030049812,-0.08139277,-0.01243352,0.02456167,-0.038542088,-0.057235178,-0.041272752,-0.03411969,0.0005185865,0.008443847,-0.075787134,0.018426811,-0.039296065,-0.021001494,-0.00861162,0.017187083,-0.0027138505,-0.0018785277,0.013735763,0.04615743,0.032405354,-0.06231727,-0.0019635153,0.03086719,-0.045162637,0.045806907,-0.025900051,-3.1445707e-05,-0.0027475709,0.0075146663,-0.018643497,0.01747621,-0.034691256,0.04944553,0.054961972,-0.027033916
