,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.027242893,0.026355084,0.16865553,-0.0807289,0.081144154,0.0137480255,0.15951739,0.1276288,-0.082804665,0.017521013,0.10002322,-0.12747064,0.08474381,-0.052796997,0.11142389,-0.092314616,0.111451045,0.14088616,0.07657706,0.07584392,-0.074835315,-0.020789506,-0.08032898,-0.118891284,0.13341142,-0.029138278,0.12361776,0.11971578,0.13826425,-0.066295065,-0.124818265,-0.047699727,0.13682951,-0.030364824,-0.008871467,0.03120261,0.11351716,-0.08244451,-0.015542384,-0.10133349,0.14130738,0.05358225,-0.09857347,-0.055218678,-0.08481158,0.037807215,0.13572526
class 2,0.12108083,-0.034660086,-0.010292865,0.082226284,-0.064180434,-0.1148723,0.07550125,-0.06908742,-0.053418957,0.141714,-0.010396606,0.09377554,0.12523374,-0.085615166,-0.118010245,0.115897164,0.13249794,-0.010954147,-0.08901792,-0.08302882,-0.04127042,-0.100247025,0.0065105446,0.10401697,-0.0014274331,-0.09408649,-0.07257995,0.14413786,-0.10646746,0.1382296,-0.08198041,-0.0034587714,-0.038549982,0.07806685,0.099731386,0.08947884,0.025197169,-0.11752118,0.0025848716,-0.063672505,0.043730512,-0.04554723,0.107061364,0.028807623,-0.11431908,-0.024383716,0.062696435
class 3,0.09144193,0.06267638,-0.07933372,0.017715529,-0.108603165,0.05866746,0.075180374,0.10157438,0.07265841,0.04349726,-0.069339365,0.060213782,-0.05776183,0.04225343,0.058808926,-0.06877126,0.026633047,-0.1023292,0.039873417,-0.05742441,-0.11153673,0.032816146,-0.10303118,0.133952,-0.1064169,-0.06938456,-0.003303288,0.07634007,-0.15110216,-0.005479756,-0.05579266,-0.050471764,-0.18109962,-0.017455008,0.11762191,-0.16331734,0.08210049,-0.0706842,0.13468285,-0.15269874,0.08423161,0.06747836,0.041864887,0.105400324,0.13149777,0.0069183754,-0.065047815
class 4,-0.08054228,-0.03251441,0.10147128,-0.07182248,-0.025134273,0.052606642,-0.018707331,0.062088255,0.063248836,-0.023573982,0.031051943,0.110305,0.06073676,-0.13872293,0.038578466,0.0719869,0.043993115,0.089939415,-0.15412614,0.11948379,0.10813189,-0.0961651,-0.13545515,-0.039119426,0.0653886,0.08859748,-0.071477145,-0.15573747,-0.0395919,-0.056776892,0.024973724,-0.11501448,-0.03773237,-0.16087115,-0.13115677,0.13167877,0.014768285,0.06364608,0.12700798,-0.12718175,0.07321985,0.023367707,0.027486127,-0.16093174,-0.0020006537,-0.07637404,-0.08272462
Average,0.039805844,0.005464242,0.045125052,-0.013152393,-0.02919343,0.0025374573,0.07287292,0.055551004,-7.909164e-05,0.044789575,0.012834797,0.03420592,0.05323812,-0.058720414,0.022700258,0.006699547,0.078643784,0.029385557,-0.031673394,0.01371862,-0.029877642,-0.04609637,-0.078076184,0.019989565,0.022738922,-0.026002962,-0.005935656,0.04611406,-0.039724316,0.0024194708,-0.059404403,-0.054161184,-0.030138116,-0.032656033,0.019331265,0.022260722,0.058895778,-0.05175095,0.062183328,-0.11122163,0.08562234,0.02472027,0.019459728,-0.020485617,-0.017408384,-0.0140080415,0.012662312
