,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.039652735,5.3954078e-05,-0.037211895,0.055357598,0.11201878,-0.18217158,-0.035205144,-0.026789749,-0.021865703,-0.10092217,-0.10203183,0.03505044,-0.09561518,0.10830032,-0.086129464,0.023079375,0.05570056,0.034656152,-0.0851439,0.057672113,-0.012790301,-0.07356496,0.12890817,-0.09747552,-0.014707287,0.1486958,-0.040735375,0.09703156,0.006670286,-0.074967936,-0.057985116,-0.007903656,-0.080889896,0.08539811,0.038611338,0.08468905,-0.04333874,0.044146657,-0.0037405214,-0.032271348,0.08696163,0.037934884,-0.14368378,-0.0062348754,0.0936232,0.09842746,-0.09089702
class 2,-0.026321258,-0.17939538,0.046418216,0.07383074,0.03530177,0.03290638,0.080761164,-0.05108834,0.08834754,-0.09505527,-0.11477343,-0.08511463,-0.09180116,-0.0029883515,0.10339007,0.109060235,0.031353943,-0.09623188,-0.010405122,-0.022314725,0.062552236,0.050420284,-0.07126806,0.08192055,0.03497243,-0.086541444,0.07821609,0.04311557,-0.061974313,-0.09310695,-0.03587891,0.031887732,-0.0015018517,-0.09517225,0.07685359,-0.10382063,-0.09484648,-0.090143725,0.07494039,-0.03626762,-0.11176487,0.13219772,-0.10213839,-0.08580334,0.056667056,0.12702842,0.10285405
class 3,0.05161481,-0.02588438,0.053964455,0.06385788,0.022742629,-0.08714253,0.0319621,-0.015391442,0.10670081,-0.061804503,-0.110906556,-0.066248566,-0.032915927,0.019960253,-0.11507712,0.052069698,-0.044655804,-0.00845879,0.06599202,0.038757667,-0.054667484,-0.084065385,-0.012739583,-0.0015587157,0.1243745,0.0070033795,0.003937037,-0.047125086,-0.13415049,0.044682868,0.11307843,-0.047264427,-0.0028874276,0.02493658,0.033540305,-0.087024026,-0.12361985,0.11759253,0.059772223,-0.091507375,-0.08842308,-0.04017522,-0.050056376,0.08186577,0.03634958,0.18397495,-0.117907986
class 4,-0.03769811,0.0063403477,0.14177944,-0.038676336,-0.07745773,0.0016828052,0.092783265,-0.04909634,-0.08804405,0.01911219,-0.07126722,-0.0038840151,-0.018017711,-0.048411574,0.0727862,0.14264895,-0.034360286,0.12030572,-0.15248808,-0.087241784,0.12532341,-0.09321399,0.011077799,0.07967186,0.042031426,-0.10661845,0.03162472,0.12604791,-0.1162765,0.03950712,0.09603415,0.019947033,0.080254644,-0.097929195,0.01629379,0.10975707,0.103155404,-0.07871207,-0.05000974,0.0035725383,-0.126596,0.06727152,0.04410046,0.073040396,-0.07052866,-0.16566302,-0.11369984
class 5,-0.007158026,-0.00066886,-0.058182165,-0.16764876,0.065056644,-0.04704678,0.025241414,-0.009296141,0.022204617,0.014383884,0.09621947,0.020536559,0.04141511,-0.0719003,0.019761154,-0.006836909,-0.1689119,-0.041762944,0.05484079,0.065704085,0.06477741,-0.06737484,0.032455005,0.018303623,0.06259579,0.05546957,-0.11702652,0.066537865,0.033160154,0.04378301,0.029320776,-0.072516404,0.097078785,0.014959137,-0.053489413,0.024616465,0.018679902,0.037921876,0.01914236,0.055774882,-0.035914488,-0.015460222,0.054291062,0.10741231,-0.09725693,0.04596647,0.07312911
class 6,-0.018190073,-0.025328815,0.035283096,-0.006594456,-0.05036621,-0.11595549,-0.016761603,0.05649844,0.08408843,0.030319547,0.039301004,0.10256944,0.028081598,-0.098204896,-0.12733468,0.113621116,0.066280626,-0.05008079,-0.057482246,0.13148636,-0.03399987,-0.012314932,0.06119453,0.11015245,-0.12826577,0.021643013,0.050070018,0.0876031,0.019618824,0.0006845141,-0.059724793,0.06499178,0.087608375,0.049837373,-0.024802066,-0.013567858,-0.11380653,9.4066745e-05,-0.07019048,0.02317902,0.033181388,0.08506217,-0.10889727,-0.077464476,0.0066133356,-0.05308377,-0.0039476175
class 7,-0.056819405,0.11907671,0.063983575,-0.05121858,0.06025349,-0.027095465,-0.04415303,0.05515776,-0.090033464,0.108749576,-0.06376221,0.023742225,-0.008559682,-0.082722045,0.094288334,-0.05497547,0.10924411,0.001279186,0.050671227,-0.092965506,-0.0316101,-0.03476424,0.009799512,-0.040820774,0.124557965,0.07837608,0.06283321,0.14813946,0.04619305,-0.12605381,0.083455324,-0.013300415,-0.034456603,-0.11526916,-0.11881897,0.0834826,0.027567167,0.035937868,-0.10901516,-0.010054457,9.1615046e-05,0.009736027,-0.10252245,-0.049347285,0.12266112,-0.1248511,0.0008347813
class 8,-0.06377201,-0.06324502,0.04424834,0.049112983,-0.09121866,0.013714375,-0.08554805,0.14074187,0.08522162,-0.014068929,-0.03119823,-0.0114745805,0.058809407,-0.05065632,0.061079483,-0.0064061014,-0.024811763,-0.14882913,-0.037721623,-0.049134206,-0.042214494,0.02283676,0.044374816,0.00057684595,0.042090483,0.104177445,0.0040274207,-0.053461056,-0.021691252,-0.15111952,0.09371079,0.0016200327,-0.077978596,0.06958851,0.02552303,0.14527269,-0.020835897,-0.11526959,-0.0016569857,0.08127094,0.004461481,0.09877562,0.06621768,0.11167104,0.048904486,-0.021181826,0.039013796
class 9,0.0032238327,0.04238891,-0.0838492,-0.007339818,-0.014030564,0.047795653,0.050959215,0.089453526,-0.07422736,-0.092390984,-0.07213736,0.086501464,-0.08887559,0.03778571,0.039927613,0.10322802,0.11916097,-0.017684683,0.016417522,-0.14880243,0.024715535,-0.12729047,0.037905958,-0.09753809,-0.09538647,0.0007455709,0.014568124,-0.14797422,-0.10341,0.091129184,0.10307013,0.009804972,0.08877644,-0.13216111,0.015793622,0.06907804,0.08310937,0.009667548,-0.12672246,0.04378746,0.044047747,0.098526835,-0.07392512,0.079276234,0.028923528,-0.12484722,-0.15133458
class 10,-0.07838742,0.031699263,0.06359963,0.0027607714,-0.015229292,-0.03168829,-0.031430252,0.07220533,0.10525891,-0.053685095,0.05263014,0.054685585,-0.022002237,0.06847018,0.09098649,-0.10945282,0.007482633,0.089846306,-0.06580406,0.118473954,0.030880978,-0.04418519,0.09265945,0.01506907,0.07642118,0.10198252,0.07218911,0.072242,0.21967228,0.045945555,0.0022001355,-0.063668795,-0.08968375,0.03198819,-0.06963817,-0.034759957,-0.06753399,-0.09998713,0.120928146,-0.028664941,0.0638531,0.030910177,0.09923638,-0.14169627,-0.09442578,-0.09628804,-0.09799584
Average,-0.019385492,-0.009496326,0.027003348,-0.0026557983,0.004707086,-0.039500095,0.006860907,0.02623949,0.021765133,-0.024536174,-0.037792623,0.01563639,-0.022948138,-0.0120367035,0.015367806,0.036603607,0.011648309,-0.011696086,-0.022112349,0.0011635519,0.013296731,-0.046351697,0.03343676,0.00683013,0.026868423,0.032493345,0.015970383,0.03921571,-0.0112187965,-0.017951593,0.03672809,-0.007640214,0.006632013,-0.016382383,-0.006013294,0.027772347,-0.023146963,-0.013875196,-0.008655222,0.00088191126,-0.013010149,0.05047795,-0.031737775,0.0092719495,0.013153091,-0.013051769,-0.03599512
