,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.067009725,0.1750254,-0.18546396,0.15671062,0.5323979,-0.3131928,-0.10024641,0.094131775,-0.05320761,0.26001108,2.2625213,-0.18710065,0.27102366,-0.72912717,-0.52556115,0.88731295,-0.18159564,-0.25248903,-0.013377949,0.13956977,0.0071066427,0.033984244,-0.541307,0.4509467,-0.68728936,-0.54459286,0.038022917,-0.18399392,0.49794868,-0.6318733,-0.047965337,-0.09491965,-0.1149084,-0.65040946,0.52558655,0.2885952,-0.113072045,0.46453056,-0.5390304,-0.11136538,0.14887074,0.37723026,-0.059599116,0.20491762,0.20943907,-0.0969708,0.08381067
class 2,-0.03710773,-0.010127297,0.055376872,-0.21123719,-0.65040296,0.18639827,0.2289574,-0.08235833,0.27801737,-0.33157063,-2.3118439,0.46885407,-0.34065962,0.5657439,0.5056953,-0.9711889,-0.025794294,0.21279193,-0.14202254,-0.39653748,-0.13034514,0.19362545,0.65721935,-0.19822106,0.58574426,0.49184346,-0.27449298,0.3531143,-0.41563803,0.72103167,0.010683261,0.26453328,0.19663057,0.5741405,-0.5138305,-0.32098997,0.08646627,-0.36764824,0.30047363,0.12389786,-0.09710222,-0.25127378,-0.012633145,-0.21304256,-0.27006426,0.246097,0.07074598
Average,-0.052058727,0.082449056,-0.065043546,-0.027263284,-0.05900252,-0.06339727,0.06435549,0.0058867224,0.11240488,-0.035779774,-0.024661303,0.14087671,-0.03481798,-0.08169162,-0.009932935,-0.041937977,-0.10369497,-0.019848548,-0.07770024,-0.12848386,-0.06161925,0.11380485,0.05795619,0.12636282,-0.050772548,-0.026374698,-0.11823503,0.08456019,0.041155323,0.044579178,-0.018641038,0.084806815,0.040861085,-0.038134485,0.0058780313,-0.016197383,-0.013302889,0.048441157,-0.11927837,0.00626624,0.02588426,0.06297824,-0.03611613,-0.0040624663,-0.030312598,0.0745631,0.07727833
