,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.038109064,0.063574076,-0.05317,-0.0024196694,0.08647165,0.025188379,-0.09924565,-0.082562014,0.11837941,0.08100193,0.10937879,0.033619206,-0.020834718,0.093666784,0.0020842787,0.12507676,0.0649212,-0.081936084,-0.032330256,-0.02960877,0.105908915,-0.026605831,0.13940568,-0.05164469,0.13912947,-0.06457736,-0.041306663,-0.022045642,0.083500996,0.11482757,-0.122097485,0.112591386,-0.07485479,-0.059422165,-0.09070454,0.09329382,-0.034901965,-0.13728863,0.006287069,0.12924096,-0.13294566,-0.093462326,0.12570554,0.12437758,0.1198285,0.06140297,0.09611969
class 2,0.08825219,-0.11748973,0.13736722,-0.09585585,-0.09549546,0.073939644,-0.053937435,0.07356495,-0.081211634,0.14907809,0.00045080358,0.07660875,0.0067095044,0.03888486,-0.00040322283,0.0028688824,-0.13037595,0.025279526,0.1440624,0.019588491,-0.041051794,-0.015757298,0.06782136,0.14174439,-0.05178819,-0.12973015,0.008655217,0.12186385,0.0135814,-0.113404855,0.09107245,0.058111105,0.045668576,-0.044217102,0.06376549,0.11679712,-0.06221856,-0.066899285,-0.1185492,0.116194576,-0.05609363,-0.07761143,0.1440639,0.043941554,0.12085688,0.06444014,-0.04978262
Average,0.025071561,-0.026957829,0.04209861,-0.04913776,-0.0045119077,0.04956401,-0.076591544,-0.004498534,0.018583886,0.115040004,0.0549148,0.05511398,-0.0070626065,0.06627582,0.00084052794,0.063972816,-0.032727376,-0.028328279,0.05586607,-0.005010139,0.032428563,-0.021181565,0.103613526,0.04504985,0.043670643,-0.09715375,-0.016325723,0.049909104,0.0485412,0.0007113591,-0.015512519,0.08535124,-0.014593108,-0.051819634,-0.013469525,0.10504547,-0.04856026,-0.10209396,-0.056131065,0.12271777,-0.094519645,-0.08553688,0.13488472,0.08415957,0.12034269,0.062921554,0.023168534
