,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.057318594,-0.089471616,-0.08627803,-0.13178106,-0.08983536,-0.04931077,0.12386512,0.059641134,0.049579773,0.12306982,0.08141702,-0.10082526,0.038691692,-0.10985431,-0.10403341,0.009092764,0.03208631,-0.03551531,-0.035016906,0.05404344,-0.11853993,-0.02546925,-0.0059720036,-0.06728223,0.012875668,-0.085053496,0.046607044,-0.06276733,-0.13062677,0.038017597,-0.06542682,0.044264488,0.0004190415,-0.08012187,0.09477943,0.05027542,-0.122740984,-0.10624566,-0.09835262,-0.1402141,0.107254595,-0.062148444,-0.10982931,0.10957112,0.10821606,0.07856478,0.11462766
class 2,-0.10938158,-0.0904681,-0.08956558,-0.051668763,0.043415133,0.082816646,-0.038964685,-0.08470058,0.18296969,0.10771077,-0.055502493,-0.12075822,-0.13788685,0.039181072,-0.13215612,0.09376315,0.018232282,0.049301866,0.008608736,0.04757438,0.065108284,0.069279835,0.026788965,0.072078004,-0.10987789,-0.0239559,0.07923048,0.08735669,0.05843653,-0.09159146,0.012966938,0.04187063,0.13277665,-0.05590702,0.022201506,0.00064012123,-0.028862191,0.06851223,0.07462605,-0.001866428,0.064994484,0.14612532,-0.009448043,-0.076199025,-0.106429175,-0.09271987,-0.089217894
class 3,0.014297801,0.11245782,0.100610934,-0.07395801,0.0065749716,-0.0638107,-0.07914409,-0.12455411,0.07728727,-0.034707624,0.013021211,0.15050636,-0.11233934,0.10579008,0.12499088,0.11916738,-0.12521374,0.11181954,-0.060442794,0.023792308,0.020688524,-0.058919642,-0.111757584,0.114721455,-0.0013133496,-0.08890312,0.031354405,-0.030997315,-0.04895602,-0.004073048,0.07171704,-0.041442923,0.113682896,-0.007761141,-0.1099793,0.050091926,-0.0022676412,-0.12988569,0.022053171,-0.07169003,0.07812111,-0.01527101,0.12320422,0.04469754,0.1250592,0.12506029,-0.0028585054
class 4,0.039736934,0.13176773,-0.11784565,0.07907462,0.035395082,0.007847799,-0.047519624,-0.08189887,-0.01990407,-0.12491432,-0.036614507,-0.015354045,0.009770626,-0.056389153,0.02737657,0.064633265,0.018974049,0.1267044,-0.029451603,-0.11627015,0.0073280856,-0.046899866,0.08408593,-0.017778901,-0.11130162,-0.02477501,0.122516245,-0.0589856,-0.0899398,-0.10013514,-0.081593074,-0.04000328,-0.03665228,-0.034447428,-0.024849333,-0.10104381,0.13760002,-0.033740073,0.0735451,0.07945616,0.11830388,0.10977661,-0.04931872,0.0023608129,-0.021267563,-0.029580705,0.08966426
Average,0.00049293786,0.01607146,-0.04826958,-0.044583306,-0.001112544,-0.005614256,-0.010440819,-0.057878107,0.07248317,0.017789666,0.0005803071,-0.021607792,-0.050440967,-0.005318079,-0.02095552,0.07166414,-0.013980275,0.06307763,-0.029075641,0.0022849943,-0.0063537583,-0.015502231,-0.0017136745,0.025434582,-0.0524043,-0.055671882,0.069927044,-0.016348388,-0.052771516,-0.039445512,-0.015583979,0.0011722287,0.052556574,-0.044559363,-0.0044619236,-9.087846e-06,-0.0040677004,-0.050339796,0.017967924,-0.033578604,0.092168525,0.04462062,-0.0113479635,0.020107614,0.026394632,0.020331124,0.02805388
