,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.07755278,-0.025013998,-0.049275883,-0.14650647,-0.0012592314,0.058735266,0.1470642,0.043062292,0.031027632,-0.026230972,-0.11101099,0.017442603,-0.12722021,-0.020080281,0.13782549,-0.024273569,0.07278902,0.1310583,0.0596536,-0.07806133,-0.0651109,0.13387808,0.063197576,0.13128823,0.10398598,0.050571237,-0.052620474,0.014599951,-0.113033466,-0.07257725,-0.07920884,0.023815623,0.09147799,-0.100719735,-0.12983142,0.09670177,-0.10472202,0.06384311,0.011357783,0.11142496,-0.13478062,0.031041747,0.0003816933,-0.12268035,-0.008486655,0.07620608,-0.13734221
class 2,-0.05313642,-0.07042233,0.083176814,-0.04188012,0.10478973,0.023252755,0.08010782,-0.027008487,0.016714638,0.03644981,-0.04144146,0.08694444,-0.0746526,-0.027327577,-0.01744745,0.06251806,0.036038723,0.13953902,-0.12646706,0.059392363,0.08654647,-0.1117871,0.10516591,-0.13642234,0.09060317,-0.14639424,-0.08840263,0.007610066,-0.13888223,0.13535593,-0.05939553,0.07542118,-0.08364863,-0.008002147,-0.14735746,-0.04094106,0.04280837,-0.05538744,0.14006366,-0.13615115,0.08194869,-0.13290022,-0.037985798,-0.10340545,0.024682727,0.0473299,-0.13270348
Average,0.0122081805,-0.047718164,0.016950466,-0.094193295,0.05176525,0.04099401,0.11358601,0.008026903,0.023871135,0.005109418,-0.07622623,0.052193522,-0.100936405,-0.023703929,0.06018902,0.019122247,0.05441387,0.13529867,-0.033406734,-0.009334482,0.010717787,0.011045489,0.08418174,-0.0025670528,0.09729458,-0.047911502,-0.07051155,0.011105008,-0.12595785,0.03138934,-0.06930219,0.0496184,0.0039146803,-0.05436094,-0.13859445,0.027880356,-0.030956827,0.004227834,0.07571072,-0.012363095,-0.026415963,-0.050929237,-0.018802052,-0.113042906,0.008098036,0.061767988,-0.13502285
