,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.35009602,-0.23651,0.2973495,0.1650177,0.09140686,-0.33746997,-0.05314641,-0.08825536,0.040577512,-0.19806682,0.16322924,-0.23607726,-0.046223126,-0.12827446,-0.42039108,0.4614882,-0.17216595,0.04387068,0.16520788,0.35789514,0.3213473,-0.21752535,0.002809325,0.16554847,0.07959919,0.4017106,0.15656607,-0.2845267,-0.055716626,0.16454063,0.049073763,-0.3081423,0.03603523,0.15729573,-0.21425867,0.17517343,-0.14224172,-0.08476868,0.27539015,-0.1893164,-0.005109719,0.23913835,0.09286258,-0.055448588,-0.25899786,0.07199708,-0.7504764
class 2,0.18304792,0.03298829,-0.1138658,0.19045739,-0.16163912,0.057732176,0.14873576,0.06919878,0.18060465,0.20730698,0.3638718,-0.11695463,-0.32481313,0.2657113,-0.56907094,0.026421463,0.4792069,0.28657416,-0.071858436,-0.18021297,-0.6399379,-0.07954607,0.6693821,0.15345529,0.091694236,-0.45121583,-0.10374119,-0.27944377,0.26894575,-0.3753433,-0.023761176,-0.016543869,-0.39316425,0.21619847,0.051610675,0.10897041,-0.124604225,-0.16940023,-0.8708667,0.37797683,-0.0757491,0.09112112,-0.05507962,-0.01383224,-0.061779562,0.0891141,0.279235
class 3,0.2480832,-0.16798599,0.08407681,-0.1549501,0.008251166,-0.00069926196,0.12129597,0.008474064,-0.1252537,0.15869142,0.26797974,-0.21645363,-0.32240343,-0.58107024,0.71645564,-0.43481568,-0.3685763,0.039963186,-0.18701,0.032837905,0.29027212,0.3533314,-0.2593509,-0.0090335645,0.33876204,-0.040703733,-0.030352918,0.09247588,-0.22057721,0.1474634,-0.1597125,0.15449266,-0.15868951,0.025272656,0.062202834,0.12861516,-0.396523,-0.0864725,0.018998947,0.17398603,0.06652574,-0.24855286,0.50747013,-0.115218416,0.39733428,-0.1771116,0.7852871
class 4,0.108582005,-0.016481353,0.100931235,0.16588135,0.093374394,0.046409585,-0.3135741,0.06287903,0.060842205,-0.14288831,0.099360056,0.31915492,-0.16087747,0.1497005,0.25772727,-0.29109085,-0.16964886,0.17679007,-0.4606818,-0.18626574,0.025159039,-0.3427767,0.1759001,-0.033375207,-0.0069378,0.036234856,-0.398583,0.22433731,0.4452022,-0.20549498,-0.17765057,0.13563462,0.16159219,2.8537033e-06,-0.10559869,-0.007702207,0.3360878,-0.5509969,0.19285528,-0.1655708,0.09722188,-0.09200626,-0.19484775,0.4079612,-0.028305238,-0.05599074,0.09027606
class 5,0.098848715,0.33891883,-0.26911178,-0.28694263,-0.19317044,0.079508536,-0.22598414,0.011745035,0.15422674,-0.06435835,-1.3220474,0.6118037,0.5077727,-0.38853532,-0.031807933,0.6054782,-0.31921017,-0.00298072,-0.14426772,0.10200569,0.37680364,0.47793978,-0.5915932,-0.41606924,-0.21788064,-0.24115302,0.05106954,0.23672889,-0.6173758,0.4977312,0.57611376,-0.024543393,0.22795813,-0.46040103,0.15458877,0.058339816,0.018980587,0.40173128,0.5766398,-0.21445042,-0.10108583,0.12563293,-0.24466877,-0.3181722,-0.16021419,0.3924167,0.9710441
class 6,-0.00643619,0.05918647,0.061174877,-0.1288286,0.16095261,-0.1147094,0.35085723,0.0862155,-0.36198378,0.06836296,0.21256305,-0.25228944,-0.115310535,0.6277057,0.07231422,-0.31999135,0.33656427,-0.54621786,0.36598969,0.06309611,-0.4913795,0.23408872,-0.024161238,0.24513261,-0.19873182,0.12132099,-0.019526338,0.07959969,0.020907035,-0.2058653,-0.23233724,-0.10023889,-0.19732274,0.21357396,-0.112290576,-0.37438038,0.19087136,0.5230354,-0.17245147,-0.016728707,-0.0013181474,-0.109699056,0.10351685,-0.08386935,-0.0040953155,-0.21864732,-1.2283139
Average,0.047004938,0.0016860435,0.026759142,-0.008227485,-0.000137421,-0.04487139,0.0046973876,0.025042841,-0.00849773,0.004841314,-0.03584058,0.018197274,-0.076975845,-0.00912708,0.0042045284,0.007915,-0.03563836,-0.0003334085,-0.05543674,0.03155935,-0.01962255,0.07091863,-0.0045022997,0.017609729,0.014417537,-0.028967688,-0.057427973,0.011528556,-0.026435776,0.0038386136,0.005287677,-0.026556863,-0.05393183,0.025323778,-0.02729094,0.014836038,-0.019571533,0.005521392,0.0034276594,-0.00568391,-0.0032525284,0.00093903765,0.034875568,-0.029763265,-0.01934298,0.016963033,0.024508655
