,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.006348658,0.056099206,-0.041696932,-0.081575274,-0.059643753,0.013221445,0.16587572,0.10415543,-0.039379593,-0.025978932,0.14831893,-0.024598582,-0.1195955,-0.017746259,-0.1129852,0.13681427,0.08246639,-0.015213672,0.07542773,0.02285833,-0.12049611,-0.099651,-0.004889853,0.049708977,-0.112257965,0.04579357,0.095745675,-0.13312726,0.12497244,0.049561836,-0.12818901,0.0137077095,0.12245948,0.06342473,0.14168112,0.056464814,-0.014689958,0.1381268,-0.11205931,-0.035045248,0.059844647,-0.042016614,-0.10161889,0.022698471,0.08343491,0.04053265,0.055651587
class 2,-0.14873187,0.07690412,0.06567662,0.1236551,0.005344152,-0.11787848,0.08814104,0.09568182,0.08916887,0.13057202,0.049253542,-0.0465064,0.07829297,-0.00461582,-0.07453932,-0.062866956,0.120520644,0.013976846,-0.010640166,0.15516794,-0.057073824,0.11055227,0.038314763,-0.069658995,-0.14128661,-0.068170756,0.032543615,-0.13008209,0.049225286,-0.015491047,-0.1193659,-0.000833106,0.11625233,0.012999708,0.123549715,-0.07189851,0.0964519,-0.03235605,-0.099400386,0.062467203,-0.07080336,-0.035082284,0.10786759,0.044392534,0.01265106,0.14758119,0.013971061
Average,-0.07119161,0.06650166,0.011989845,0.021039914,-0.0271498,-0.05232852,0.12700838,0.09991862,0.024894638,0.052296545,0.098786235,-0.03555249,-0.020651262,-0.01118104,-0.09376226,0.036973655,0.10149352,-0.0006184131,0.032393783,0.08901313,-0.08878496,0.005450636,0.016712455,-0.009975009,-0.12677228,-0.011188593,0.06414464,-0.13160467,0.08709887,0.017035395,-0.12377746,0.0064373016,0.1193559,0.038212217,0.13261542,-0.0077168494,0.04088097,0.052885376,-0.10572985,0.0137109775,-0.0054793563,-0.03854945,0.0031243488,0.0335455,0.048042983,0.09405692,0.034811325
