,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.018742073,0.09521161,0.07309714,0.022764742,-0.0151123265,-0.07855769,-0.148903,-0.10127776,0.08964816,-0.000957135,-0.1382476,-0.21450478,-0.0057070972,0.03317141,-0.043904264,0.11036864,-0.09480773,-0.09470456,-0.21392556,0.07316351,0.025558699,0.020020528,0.205219,0.11160215,-0.0069450536,0.06275539,-0.029812787,0.1773035,-0.09846805,0.20076096,-0.2307441,0.22388427,-0.053170413,-0.016725147,-0.02510435,-0.0010287532,0.009480329,-0.04865668,0.092810236,0.1537586,0.100370385,-0.114477344,-0.018806837,0.15117714,-0.033693086,0.057947617,0.02310751
class 2,-0.014079601,-0.11520318,0.1330527,-0.05843037,-0.0665704,-0.10690948,-0.028391378,0.050500296,-0.027405102,0.019059854,0.058980867,0.023691123,0.0008026824,0.18173699,0.04421314,0.07168138,-0.111927256,-0.03709345,0.03782717,0.16326825,-0.0010340047,0.07910278,-0.059401304,-0.1462579,0.1825606,0.043846183,0.042730596,0.016636683,0.05533067,0.034777228,-0.07001909,-0.03376762,-0.12413959,-0.0993067,0.16424361,0.049634464,-0.09485205,-0.10070272,0.055850238,0.07088011,0.104770765,0.05923725,-0.04414393,-0.03967526,0.037503056,-0.032553997,0.07976754
class 3,-0.053524345,-0.14000796,-0.17919143,0.08491862,0.01842625,0.00013356995,0.015294126,0.071844995,-0.051113598,0.0644954,-0.15710805,-0.09897701,0.08976949,0.06741739,0.16829298,0.06143042,-0.043662373,-0.053831138,0.1329705,-0.072805665,0.0032578735,0.0003285716,0.00096062024,-0.027174674,-0.030334773,-0.02539558,-0.14263394,-0.032297067,0.118367195,0.0029559,-0.08060918,-0.102762446,-0.05398141,0.024015937,0.049719185,0.042836525,0.08097451,0.11103954,-0.050936326,0.0017332081,0.13648543,0.04259237,-0.027125675,-0.011280469,0.13865879,-0.09953762,-0.15161428
class 4,0.071671024,-0.07548673,0.0009385469,-0.07461243,-0.050256867,-0.014814995,-0.017296087,0.1300407,-0.0034212472,0.0020851197,-0.15782996,0.22645973,0.09793032,-0.055442248,-0.09756088,0.12912612,-0.20697723,-0.08342077,-0.052522413,0.07017859,-0.059890162,-0.013148245,0.012659662,0.007426261,0.104592234,0.027900433,0.10777449,-0.07823627,0.127659,-0.027194114,0.1401301,-0.14236745,0.015325151,0.091401845,0.08966738,-0.07559169,-0.102226794,0.068980336,0.015042308,-0.01809205,-0.0013059033,0.08575794,0.07521475,0.13587092,-0.06362762,-0.090376295,-0.0010525176
class 5,0.15173715,-0.013906963,0.0047932384,0.0032283377,0.029442046,-0.09181143,-0.041069947,0.007325212,0.0973277,-0.12799188,-0.038042758,0.21235901,0.03751857,0.038814247,0.16257004,0.1099301,0.10178042,0.08660904,0.059388164,0.051790845,-0.07245542,-0.13551275,-0.21740282,-0.1298801,0.055418372,-0.050520577,0.021226387,-0.15898779,0.046800975,0.08146107,-0.035762757,-0.025035936,0.053095873,-0.0016505026,0.004312263,0.074084885,-0.04996581,0.14987043,0.12534899,-0.04161061,-0.06449017,-0.13234538,0.043802317,-0.08264907,-0.10225665,0.06211941,-0.11237655
class 6,0.10033215,0.026784256,-0.019314094,-0.022634374,-0.013288786,0.08302419,0.105998196,-0.04449665,-0.036416885,0.041495785,-0.067099325,0.009012652,-0.044173818,-0.039235104,-0.015539905,-0.056127522,0.054563988,0.14043353,-0.026380481,0.16197325,-0.00907739,0.12526345,0.102078736,0.17520136,-0.18997231,0.06386969,0.045349568,-0.103360094,-0.12252522,0.0117779905,-0.02841847,-0.055467572,0.07423878,-0.046580464,-0.11929772,0.05253444,-0.1026658,-0.110763185,-0.070828184,0.19638349,-0.045339536,-0.07296824,0.11710271,-0.14983234,-0.19736326,0.027442098,0.0005540025
class 7,-0.00831087,-0.0130475685,0.010797153,-0.026924375,-0.07484922,0.09541297,-0.13452491,-0.04772348,-0.19405907,0.07055363,-0.1001412,0.093066834,0.0541593,0.06737467,-0.062398203,-0.06807297,0.059764687,0.002911757,0.048705027,-0.004995596,0.15827501,-0.02373237,-0.02269515,-0.037015785,-0.06603138,-0.05754862,-0.017431468,-0.08156017,0.003713786,0.13078101,0.18691877,0.042224288,-0.040203992,-0.06652589,-0.084845595,0.025394745,0.053910486,0.09858422,0.14982218,0.034663513,-0.054098766,-0.18366179,0.12062129,-0.14112231,-0.13906679,0.14130254,-0.056772254
Average,0.032726206,-0.033665214,0.0034533239,-0.010241407,-0.024601327,-0.016217558,-0.035556145,0.009459046,-0.017920006,0.00982011,-0.085641146,0.03587251,0.03289992,0.04197677,0.022238987,0.051190883,-0.034466498,-0.005585088,-0.0019910836,0.06322474,0.0063763717,0.007474565,0.003059822,-0.006585528,0.0070410944,0.009272418,0.003886121,-0.037214458,0.018696908,0.062188573,-0.016929248,-0.013327496,-0.018405084,-0.01648156,0.011242114,0.02398066,-0.029335018,0.024050279,0.045301348,0.056816604,0.025198886,-0.0451236,0.038094945,-0.019644484,-0.051406506,0.00947768,-0.03119808
