,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.0011268912,0.18243477,-0.14533141,0.013888184,-0.033472426,-0.033926886,0.052823957,0.060646985,0.122608796,0.06380468,0.16567086,-0.08822748,0.006187011,-0.07343199,-0.06777321,-0.1034366,-0.20108123,-0.063254796,0.29380035,0.004282298,-0.0032765514,-0.12778595,-0.19590735,-0.03927217,-0.03250664,0.031049304,-0.04819233,-0.17869332,0.11382597,0.14077169,-0.059387993,0.16734743,-0.075733416,-0.21836466,-0.03411661,-0.063806325,-0.08427663,-0.0905223,-0.09010043,-0.05768935,-0.09081663,-0.016386604,0.0353652,0.045470215,0.05843841,0.07447532,0.030189022
class 2,-0.16396037,-0.09973507,-0.09342823,0.10732537,0.065098874,0.07043064,0.08006903,0.0760872,-0.036064602,-0.00074895937,-0.21290722,0.13677056,-0.15562007,-0.1162517,0.0993937,-0.067161225,-0.015607975,-0.0120641915,-0.10808694,-0.045677625,-0.013651285,0.026759733,0.0017771835,0.04139397,-0.0136200115,-0.08363588,0.17833616,0.1429475,0.040388346,-0.018347705,-0.102028094,-0.048391428,-0.09769189,0.10203692,-0.017333597,-0.16773333,0.17629562,-0.10129866,0.20552963,0.0474334,0.15145919,-0.11097593,0.024127752,-0.034496132,0.14046144,0.02484968,-0.11839632
Average,-0.08254363,0.04134985,-0.11937982,0.060606778,0.015813224,0.018251875,0.06644649,0.068367094,0.043272097,0.03152786,-0.023618184,0.02427154,-0.07471653,-0.094841845,0.015810248,-0.08529891,-0.1083446,-0.037659492,0.092856705,-0.020697663,-0.008463918,-0.05051311,-0.09706508,0.0010608993,-0.023063326,-0.026293289,0.06507191,-0.017872915,0.07710716,0.061211992,-0.08070804,0.059478,-0.08671266,-0.058163866,-0.025725104,-0.115769826,0.046009496,-0.095910475,0.0577146,-0.0051279757,0.030321278,-0.06368127,0.029746477,0.0054870415,0.099449925,0.0496625,-0.04410365
