,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.13973859,0.07107349,-0.090084,-0.16213715,0.039375644,0.06573735,-0.1132992,0.11417113,-0.01567565,-0.097206645,0.0017161723,-0.029208027,-0.12232398,0.09873385,-0.037621465,0.07977617,0.080210395,-0.061213095,0.10220081,0.1292865,0.011717649,-0.04302916,-0.063122675,-0.0125856185,0.035767548,0.047959704,-0.14093475,-0.06886639,0.07886556,-0.14464344,-0.11830139,-0.041725,0.086273395,0.018022532,0.07127605,-0.026239181,-0.014963312,0.029484583,0.07895665,-0.07490892,0.08968122,-0.029824764,-0.14948918,0.012370692,0.0115396045,-0.063420996,-0.1019287
class 2,0.0018019433,0.11657254,-0.07210748,-0.11588783,-0.03977967,-0.025315998,0.14621857,-0.081009515,0.059320144,-0.041195773,-0.12119421,0.0801884,-0.0647079,-0.08718871,0.053322367,-0.086065486,-0.11805597,0.025572948,-0.036632612,-0.0901937,-0.074091285,0.072937556,-0.068075106,0.11746015,0.1331131,-0.11006231,-0.052026536,-0.12430071,-0.03630243,0.118991055,-0.12471344,-0.02750776,0.038122978,-0.05396116,0.11012525,0.07699196,0.041199423,0.08878927,0.11430993,-0.09201688,0.045597307,0.12743363,-0.08318277,0.122068964,0.034590736,0.13527428,0.06424883
Average,0.07077026,0.093823016,-0.08109574,-0.13901249,-0.00020201318,0.020210676,0.016459685,0.016580809,0.021822248,-0.06920121,-0.05973902,0.025490187,-0.09351594,0.0057725683,0.007850451,-0.003144659,-0.018922787,-0.017820073,0.0327841,0.0195464,-0.03118682,0.014954198,-0.06559889,0.052437264,0.08444032,-0.031051302,-0.096480645,-0.096583545,0.021281565,-0.012826193,-0.12150742,-0.03461638,0.062198184,-0.017969314,0.09070065,0.02537639,0.013118056,0.059136927,0.096633285,-0.0834629,0.06763926,0.048804432,-0.11633597,0.06721983,0.02306517,0.03592664,-0.018839937
