,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.14294493,-0.07102457,-0.0947126,-0.034495004,-0.031560063,0.048546962,-0.07049986,0.0024793171,-0.089158036,-0.07294821,-0.0076067387,0.09567611,0.048979465,-0.08226594,-0.08684936,0.08564518,0.12758382,0.09680775,-0.10954404,-0.050854225,0.083438456,-0.049762256,-0.06005742,-0.046765868,-0.08939965,-0.13542362,-0.10217088,0.036222853,0.08156631,-0.039741587,0.055605054,0.043471847,0.11776178,0.045066677,-0.08607924,-0.14252985,-0.002511743,-0.07793858,0.042324834,0.14384124,-0.14344774,-0.11105873,-0.13894807,0.042054344,0.08227708,0.048046466,0.054065127
class 2,0.025565796,-0.09115696,0.07273597,0.004606753,0.05738575,-0.021807237,-0.15288813,-0.0019471564,0.0643444,-0.06865335,-0.0141368685,0.1348387,0.085243806,-0.08293545,-0.034179702,-0.10342798,0.08871086,-0.06402878,0.094871916,-0.018794263,-0.012301874,0.043507326,-0.095743455,-0.09635377,0.05625313,0.06125224,-0.012403872,0.032584704,0.12714797,-0.12861702,0.093625195,-0.11376207,0.1273422,-0.0041051307,0.045964755,0.024578901,0.013517714,-0.14383756,0.1378355,-0.0035907158,-0.140884,0.027487475,0.0833254,0.016632598,-0.12472282,-0.06643776,-0.045825068
class 3,0.102660306,-0.015151413,0.0014165989,0.046278507,0.13601175,0.026249679,-0.13333495,0.09123919,-0.054030944,-0.018094344,-0.03880029,0.028484115,0.05814903,-0.116111934,0.09470726,0.05846092,0.028118383,-0.13473986,0.06202915,0.0921772,0.12786913,-0.048663184,0.11370451,-0.073837474,0.12975426,0.10077487,0.10518202,-0.011206956,0.1602062,0.03301779,-0.1294976,0.035742063,-0.13121477,-0.06318925,-0.09540858,0.056728076,0.1275263,0.026628088,-0.055203583,-0.16201372,0.0018700403,-0.11886976,-7.9265454e-05,0.078691855,-0.173913,-0.08364753,-0.14087974
class 4,0.027768778,-0.044727694,-0.0008874671,-0.10935544,-0.022300774,-0.0021064193,-0.004100344,0.1721822,0.03262633,-0.016028851,-0.09676468,0.11257339,-0.014301531,-0.12511195,0.07397854,-0.12123997,-0.021232024,0.043717165,0.14178333,0.085984334,0.070094444,-0.06395955,0.15501079,0.034129743,0.15791129,0.040448356,0.060731087,-0.009970508,0.07930614,8.772867e-05,0.00833036,0.052512385,-0.11736762,-0.011223218,0.14304222,0.027320564,-0.06883542,-0.077314936,0.08640995,-0.17724586,0.05793728,-0.007833122,0.1339983,0.060296386,-0.07906098,0.053302392,0.13015734
class 5,-0.01587194,0.044299632,-0.091794185,0.0467099,0.070004545,-0.05109876,-0.17158769,0.036637645,0.001965739,-0.063275985,-0.0878202,0.03840668,0.08476454,-0.07474911,0.03846863,-0.00025137718,-0.091201134,-0.16001329,0.0044054096,-0.03126386,-0.050423197,0.19400074,0.009049718,0.07510089,-0.18374303,-0.117995396,0.06815937,0.059080984,0.23668554,0.17297632,0.035114434,0.005691525,-0.07643144,-0.096912675,0.079838574,-0.082500495,-0.22310026,-0.080334954,0.052657343,-0.041843977,0.092750825,0.04511116,-0.04358888,-0.13564827,0.14164603,0.09525351,0.12663403
class 6,0.07124443,0.042878892,-0.104455695,0.068109185,-0.04216526,0.12962675,-0.07843185,0.1883542,-0.022476412,0.022396255,0.2306693,0.18028812,0.20741248,0.0015813109,-0.020161549,-0.05370036,-0.020824544,0.05306562,-0.13347195,0.041362226,0.052911967,-0.27748743,-0.19175497,-0.021494541,-0.029362006,-0.3318374,-0.26908186,-0.076754905,9.544608e-05,0.13110949,-0.016430108,0.2002431,-0.12661073,0.1934024,0.11361273,0.19025469,-0.09853085,-0.11501437,-0.00036094832,0.07933915,-0.06234087,0.39003342,0.04063648,0.17889751,0.26640376,0.22208841,0.020082785
class 7,0.24081805,0.04258317,0.16187575,-0.0141510395,0.16147448,-0.18301503,0.08010623,-0.6092253,-0.035958104,0.06144315,-0.045140754,-0.054117408,-0.20516746,0.16836399,-0.04776047,0.19608505,-0.0100254705,0.16120277,0.32697302,0.19790418,0.17513439,-0.011032501,0.17233151,0.005670681,0.15919219,0.2359568,0.2520085,0.18192375,-0.1380432,-0.14469585,-0.12818521,-0.12398929,0.20842041,-0.18087293,-0.12916653,-0.24583592,0.22152758,0.23523016,-0.16691804,-0.13647124,0.11395048,-0.20314774,-0.27270117,-0.19429055,0.04459366,-0.09468212,0.049440812
Average,0.04417721,-0.013185563,-0.007974518,0.0011004083,0.04697863,-0.0076577216,-0.07581951,-0.01718284,-0.014669575,-0.022165906,-0.008514319,0.07659282,0.03786862,-0.044461302,0.0026004782,0.008795924,0.014447128,-0.00056980125,0.0552924,0.045216512,0.06381761,-0.030485267,0.014648669,-0.01765005,0.028658029,-0.020974876,0.014632053,0.03026856,0.07813777,0.0034481245,-0.011633984,0.014272795,0.00027140763,-0.016833449,0.010257704,-0.024569148,-0.004343812,-0.03322602,0.013820725,-0.042569306,-0.011451997,0.0031032455,-0.028193887,0.0066619837,0.022460533,0.024846196,0.027667899
