,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.059197314,0.035762265,-0.035340656,0.0383893,-0.06619003,0.05947439,-0.033527087,0.09074716,-0.0030595455,0.005899781,-0.16564403,-0.040490918,-0.08428595,-0.017719591,-0.03968121,0.005336163,-0.027229989,0.013943188,-0.0053379545,0.0607114,-0.006428897,-0.052571476,0.111784756,-0.042943377,0.017011074,0.13354741,-0.0891136,-0.08445703,0.085829124,0.12396238,0.080370985,-0.07270262,-0.03827815,-0.08073391,0.07087464,0.092380725,-0.1025402,0.09896396,0.05245526,-0.1183108,0.071674384,-0.033587422,-0.08197506,-0.0010032038,-0.1681739,0.07911635,-0.08321745
class 2,-0.02587509,0.11503573,-0.10563621,0.055149786,0.104892716,0.08464604,0.11595113,-0.094917774,0.056830782,0.023282256,-0.005443259,0.14253078,0.06293496,0.09164446,-0.07979883,-0.093507014,-0.06183849,0.06526399,-0.15684505,-0.090689585,-0.11269327,0.032348838,-0.025055116,-0.064432964,-0.09852818,-0.0026742534,-0.11672021,-0.05829645,0.0037432467,-0.11170088,-0.13371123,0.07277289,0.11824888,-0.010020226,-0.11115117,0.04182675,-0.058071017,-0.111682706,0.016977565,0.11020967,-0.115527965,-0.009189073,0.11784655,-0.13450947,-0.008446751,-0.08976462,-0.057381965
class 3,-0.07411146,-0.0150063615,-0.07849268,-0.088420086,-0.018530691,0.044153556,0.021311043,-0.07521769,-0.060545053,0.017952448,-0.12194669,0.026512401,-0.053869866,0.052707408,0.12871332,0.031682532,0.08549345,0.11244922,0.13407338,0.03776366,-0.1256332,0.025843453,0.01210336,-0.0546996,-0.0826743,0.09013713,0.071941495,0.06755876,0.09792336,-0.06617471,-0.04990347,-0.091378115,0.029066924,0.10696571,0.057443146,-0.06310581,-0.09092753,0.04305783,-0.055976763,0.068676636,-0.114833176,0.08526046,0.11319217,-0.12602659,-0.041932847,0.11570217,0.03124987
class 4,-0.05940192,0.018671073,0.029698705,0.07828476,-0.048616555,0.08214124,0.1566832,-0.022722784,-0.0265623,-0.029061137,-0.08596692,-0.027904736,0.014820942,0.018262167,0.030347392,0.020024486,0.13857721,-0.099232785,-0.1286167,0.09708136,0.044586044,0.0015135317,-0.101915725,-0.14275216,0.06944808,0.022692388,-0.09969175,0.06147503,0.111541085,-0.08017025,0.053882997,-0.0646462,0.03956302,0.08856777,0.018748406,0.011932809,-0.098188765,-0.05485687,-0.096605845,0.13325025,-0.08535084,-0.044972934,-0.07752492,0.056570243,-0.07171209,0.016832229,0.05977079
class 5,-0.0637266,0.008012999,0.091024674,0.015202355,-0.052702334,-0.04000186,0.03806175,0.0148720695,-0.056687895,0.021781947,0.11537372,0.05165797,-0.023796968,-0.08580621,0.12490544,-0.12746571,0.0044414974,-0.09011226,0.09945102,-0.027500879,-0.08693581,-0.067744896,-0.030611603,-0.15583317,-0.0047249934,0.12786603,-0.11102321,0.06457257,0.051817242,-0.02498369,-0.06296913,-0.09063198,0.05504618,0.05422906,0.073193066,-0.0953443,-0.030471362,0.121962346,-0.09092724,-0.0060499017,0.013446698,0.029032938,0.0500013,-0.020898242,0.120557636,0.035843812,0.1310388
class 6,0.078872845,-0.07954203,0.06824714,-0.09184546,0.059251234,0.06319759,0.03206417,0.1117464,-0.07927451,-0.13851789,-0.06576285,0.12144637,-0.0025040142,-0.03261697,0.037885018,-0.10353955,0.017679526,0.039774034,0.13081448,-0.047961973,0.06276998,0.032999747,0.0037940263,-0.13166656,-0.11446072,0.10466786,-0.04359737,-0.12734969,0.047944814,-0.07163551,-0.045289084,0.049843293,-0.0070017637,-0.06944671,0.07866458,0.0151567655,-0.013009604,0.09845694,-0.10176145,0.15518083,-0.008496669,-0.05990698,0.095717475,-0.032096837,-0.12334026,0.058385197,-0.020148562
class 7,-0.050472904,-0.0075625707,0.020694328,0.09009661,0.030454576,0.12563269,0.07831617,0.021153836,0.06527531,0.029459795,-0.054856658,0.02035943,0.06366975,0.03135384,-0.06410574,-0.05992744,0.05349524,0.09443236,-0.09519098,-0.18514547,0.028431088,-0.11411962,-0.11326208,-0.13637315,-0.011216329,0.0981156,-0.113817975,0.004077173,0.0568656,-0.16762929,0.032028634,-0.08546955,-0.05000655,-0.08303408,-0.048861053,0.04308537,-0.07690846,-0.061671916,-0.0074750213,-0.027917014,-0.031154076,0.17413174,0.096900776,0.038149122,-0.10785726,-0.013145685,-0.0007695127
class 8,-0.047330625,-0.030016689,-0.017326348,-0.043620903,0.10370218,0.03148408,0.023796171,0.16399857,-0.08497218,0.02337373,0.03207434,0.11545178,0.015589994,-0.09790502,-0.116885364,0.10839919,-0.06292504,-0.019559998,-0.10583659,-0.09834303,-0.071194634,0.0833451,-0.058402646,0.03182821,0.040417943,-0.020263536,0.014562557,0.15170003,-0.05647613,0.023863753,0.008573763,0.018653676,0.08255227,0.049335912,0.01743906,0.017107636,0.009154343,-0.01852714,-0.07082287,0.04387421,-0.037213854,-0.108298905,0.018066613,0.062330898,-0.028408956,-0.010492902,0.019736355
class 9,-0.0049374904,-0.120802805,-0.08477965,0.023954993,0.07110765,-0.0017101653,-0.06901106,-0.1002366,0.12529612,0.041307908,-0.13723227,0.037460424,-0.10799176,0.060887508,0.109726354,0.08397986,0.12179866,0.024611073,0.11024142,0.11489238,-0.09847744,-0.032090146,-0.08478324,-0.1559924,0.02892998,-0.13455541,-0.050964095,0.08050705,0.036100946,-0.08235334,-0.046810277,-0.11340565,-0.017641265,0.09123418,-0.1119884,0.078492396,0.06709257,-0.012664784,0.13669914,0.13356721,0.029108424,-0.042884566,-0.05993063,0.11287687,0.04980159,-0.052916322,0.050920192
class 10,-0.03134535,-0.0037832984,0.032763254,0.095458,-0.08931524,-0.0013853859,-0.024927285,-0.06999022,0.020053104,-0.016883962,-0.081385255,0.0424334,-0.051887974,0.0369071,-0.13439345,0.010313991,-0.059253607,0.117336705,-0.059002466,-0.095180035,0.12961249,0.11884713,0.020246686,0.0064624096,0.011193888,0.14614867,0.06301884,-0.05206781,0.18245342,0.017171644,-0.035152387,0.014437783,0.02656085,0.02865649,0.12245825,-0.08930953,0.02911113,0.045909155,-0.0728904,-0.06696523,0.028685777,-0.19250405,-0.011969004,0.044163126,0.12636155,-0.0030116497,-0.075666346
Average,-0.021913126,-0.007923171,-0.007914744,0.017264936,0.00940535,0.044763215,0.033871822,0.0039432966,-0.004364617,-0.002140512,-0.057078987,0.04894569,-0.01673209,0.0057714684,-0.0003287092,-0.012470348,0.021023845,0.025890553,-0.007624945,-0.023437219,-0.02359636,0.0028371662,-0.02661016,-0.08464028,-0.014460355,0.056568194,-0.047540534,0.010771964,0.061774272,-0.043964986,-0.019897921,-0.03625264,0.023811039,0.017575419,0.016682053,0.0052222805,-0.03647589,0.014894682,-0.029032763,0.042551585,-0.02496613,-0.02029188,0.026032528,-4.4408815e-05,-0.025315126,0.01365486,0.005553218
