,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.07863335,-0.05690127,-0.08011848,0.038410995,0.0128310295,0.025988989,-0.047151823,-0.041789576,0.008621883,0.09266034,0.10690323,-0.01737553,0.14952208,-0.063656926,-0.1394991,-0.09054683,0.100352734,-0.11196155,0.015339702,-0.03360656,-0.15434054,0.067360036,0.039911952,-0.03978369,0.083277814,-0.1420351,-0.055413507,-0.15225855,-0.03042341,0.04179353,-0.08869276,0.07646945,-0.1073625,-0.05068059,-0.04502846,0.06541407,-0.12016002,-0.019141173,-0.14041889,0.050987087,0.09550573,0.08935675,0.022039564,0.18068647,0.018932166,0.096155725,0.016412057
class 2,-0.10953343,-0.052326288,-0.10719218,-0.04300682,0.028906822,0.035488684,0.011654423,0.05892129,0.058338698,0.018116536,-0.10043196,0.11328415,0.111296855,0.020340597,0.12153219,0.10158544,0.023021378,0.11535964,0.08316163,-0.11974968,0.11442451,-0.06409195,0.08023686,0.082182445,-0.06388061,0.0926819,-0.0772627,-0.116023116,-0.08880731,0.07090125,-0.030784747,-0.04488638,-0.05294387,0.20519497,0.078237,-0.004684154,-0.13085468,0.08584062,-0.08848027,0.17400576,-0.17966047,0.02903228,-0.057828914,-0.00024038757,-0.13153929,0.13385709,0.090478405
Average,-0.015450038,-0.054613777,-0.09365533,-0.0022979118,0.020868925,0.030738836,-0.0177487,0.008565856,0.03348029,0.055388436,0.0032356381,0.04795431,0.13040946,-0.021658164,-0.008983456,0.0055193044,0.061687056,0.0016990453,0.049250666,-0.07667812,-0.019958012,0.0016340427,0.060074404,0.021199377,0.009698603,-0.024676599,-0.06633811,-0.13414083,-0.05961536,0.056347392,-0.059738755,0.015791535,-0.08015318,0.077257186,0.016604269,0.030364959,-0.12550735,0.033349723,-0.114449576,0.11249642,-0.04207737,0.059194516,-0.017894674,0.090223044,-0.05630356,0.1150064,0.05344523
