,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.15821159,0.078630105,0.030145394,-0.08986925,-0.120207034,0.060409438,0.0038656625,0.1455564,-0.045514952,-0.14831485,0.09409865,0.015984057,-0.022812778,0.0459438,-0.109470524,-0.054153223,0.05112069,-0.037795693,-0.061410483,-0.03639311,-0.11063282,0.07279095,-0.08978601,0.014499654,0.02437034,-0.15747592,-0.01649497,-0.08014533,-0.08560125,0.20934173,0.02637096,0.18774429,-0.08993769,0.011448372,0.061852522,-0.07405014,-0.07820758,0.04901065,0.0726648,-0.061563402,-0.11819629,-0.112121984,-0.10833063,-0.027709601,0.20735897,-0.11489746,0.051828403
class 2,0.01833223,-0.00079375174,-0.08872285,0.0027383075,0.029002532,0.028915998,-0.09530289,-0.04502335,0.106471404,-0.02838314,-0.0711323,-0.027950678,-0.052604236,-0.13293877,0.11787038,0.028150227,-0.017728873,-0.118001774,-0.13705638,0.06396949,-0.06899333,0.15184249,0.15392636,0.11353494,-0.18784663,-0.062474705,0.05250141,0.0927312,0.032819793,0.15020235,-0.2327527,-0.09115665,-0.10547227,-0.039248027,-0.06532898,0.089923285,-0.02619537,-0.14740814,-0.03052918,0.01626093,0.17551015,-0.09636731,0.085056946,0.15498582,0.051055536,-0.35631445,0.0018837847
class 3,-0.15210083,-0.028742366,0.073776625,0.00982946,0.100537255,-0.13080297,-0.137563,0.117130816,0.038430475,-0.118974,-0.06264985,0.05759843,-0.06736519,0.0028150305,0.27195877,-0.17014872,-0.09215521,0.11482599,-0.07552432,0.08052881,-0.12633267,0.04078211,0.081420764,-0.13944376,0.011494559,0.02942353,0.22190075,0.05581189,0.031462733,0.08050944,0.24165094,0.06710671,0.121613815,0.1426153,-0.049281128,0.17707634,0.018324517,-0.03606636,-0.11467075,0.02048918,-0.21946126,0.08803254,0.27760026,-0.049553223,-0.08134537,-0.2106004,0.09841802
class 4,-0.05287853,-0.019414624,-0.032834973,0.026225653,0.18712673,0.011665798,0.013612049,0.15399832,0.0880031,-0.04669748,-0.11774348,0.084322475,0.097003035,0.050067723,-0.0029145475,0.015066993,-0.085170105,-0.076117784,0.054310646,-0.15155634,-0.1641482,-0.04165373,0.18528505,-0.09810998,0.073623754,0.10552495,-0.028052483,0.12719463,0.059772108,0.015433862,-0.081464455,0.10153437,-0.062463194,-0.062282104,0.09287239,-0.079004504,-0.01319882,0.0049129324,0.008931633,0.030282956,0.03385284,-0.003093347,0.04218822,-0.12507269,-0.0339902,-0.02143605,-0.057723332
class 5,0.07594187,0.04267973,0.18616906,0.116185494,-0.2440806,-0.03181869,0.25010702,0.2050326,0.12481568,0.11828308,0.048690677,-0.0043852166,0.024660751,-0.08369994,-0.032993633,-0.09702249,0.002968061,-0.011188174,0.13414082,-0.035430104,0.10671996,0.08755037,-0.09193578,0.028768113,-0.014166099,0.027896613,0.037956342,-0.25790322,0.1748819,0.02035044,-0.04730172,-0.099476226,-0.1972992,0.17581074,-0.15669215,-0.093997955,-0.03785677,-0.21737869,-0.0066138096,0.044357635,-0.0037914072,0.13475771,-0.13501544,0.13002819,-0.05230939,0.03618704,-0.11610951
class 6,0.009081534,-0.0053983107,0.19377086,-0.16438577,-0.022085639,0.15962952,0.16085264,0.0119216135,-0.23437205,0.16633612,-0.081367485,-0.11408482,-0.14061308,-0.15134242,0.056120403,0.08551415,-0.032774992,-0.11135302,-0.13591866,-0.051234573,0.07622104,-0.28031063,-0.25917447,-0.019479634,-0.1815646,0.08954663,-0.0847244,0.045306813,0.0068139434,-0.009778776,0.032415655,-0.09482365,0.16022383,0.2689394,0.13709772,-0.05271738,-0.0386477,-0.09042817,-0.020294275,0.17051141,0.16801439,0.19155052,0.028266521,0.013281644,0.08571175,0.36822894,-0.107928485
class 7,-0.13924491,-0.088742904,-0.14824314,0.09604512,0.15800102,0.036339756,0.008874003,0.08784794,0.031689942,0.1938202,0.12478876,-0.3485342,0.29870692,0.14589763,-0.17495178,-0.020648783,-0.1647122,0.043004237,0.18525098,0.037717808,0.028716672,0.28385332,0.066440746,0.21669963,0.053503376,-0.1311968,0.0065984773,-0.07048851,-0.1410274,-0.17912483,-0.06284996,0.15442502,-0.031526085,-0.014223653,0.025766281,-0.07552165,-0.045668703,0.19157656,0.041161034,0.09012349,0.017898472,-0.06872313,-0.27815774,-0.080774605,-0.18524149,-0.24988703,0.12788638
class 8,-0.03787434,-0.059328664,0.040091187,-0.009054095,-0.12912367,0.09950387,-0.09149172,-0.14283077,-0.019966349,-0.08595439,0.110866375,-0.14026134,0.0962664,0.2774158,-0.031014511,0.09946084,0.22539437,-0.06270519,0.24974489,0.10154371,0.10580608,-0.0025517787,0.17429213,-0.0393763,-0.11735898,0.029088179,-0.110381484,0.050703134,0.06212454,-0.21751717,-0.0024485537,-0.14361343,0.006090279,-0.09954369,0.14092539,0.10056219,-0.2958531,0.064287424,-0.16440241,0.105194695,-0.03679442,-0.1529676,-0.10422689,0.11208468,0.020630775,0.1524941,0.0679071
class 9,-0.06055448,-0.0056463312,-0.1108866,-0.11075115,-0.16204284,0.03838733,-0.10897183,-0.26524663,-0.0034016946,-0.1468959,-0.22730611,-0.048054725,-0.08864627,-0.10618159,0.03492539,0.0070560407,0.043929122,-0.020160705,0.0021433304,0.09340366,0.12518035,0.054372307,0.038351003,0.027186453,0.13583586,0.05761766,-0.024124257,0.1663319,-0.1503166,-0.13697407,-0.051990107,-0.12772053,-0.033120632,-0.035287626,-0.044224113,-0.06619615,0.18206614,0.31802827,-0.1148053,-0.024781149,0.02851666,-0.20540586,-0.06797534,-0.10773269,-0.022264775,0.11159805,-0.080615275
Average,-0.020120652,-0.00963968,0.01591839,-0.013670693,-0.022541363,0.030247785,0.00044243535,0.029820766,0.009572838,-0.010753375,-0.020194974,-0.058374006,0.016066171,0.0053308075,0.014392217,-0.011858325,-0.0076810163,-0.03105468,0.023964534,0.011394372,-0.0030514316,0.040741716,0.028757755,0.011586568,-0.02245649,-0.0013388722,0.0061310437,0.014393613,-0.0010078036,-0.0075063375,-0.019818883,-0.0051088994,-0.025765682,0.03869208,0.01588755,-0.008213997,-0.037248597,0.015170496,-0.036506474,0.043430638,0.0050610155,-0.024926495,-0.028954897,0.0021708352,-0.0011549126,-0.031625245,-0.0016058766
