,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.021517575,0.12681982,-0.012867639,-0.004935007,0.19546524,0.019475037,-0.335985,0.05023018,-0.20017298,-0.056502134,0.08021055,0.11442156,0.11735327,-0.13065818,-0.07237181,-0.11670435,-0.10038298,-0.049389936,-0.13204342,0.050446168,-0.030452017,0.25553665,0.17088234,0.09639035,0.025415445,0.20220216,0.06911309,-0.005584082,-0.018665073,-0.028181544,-0.04338048,-0.05668893,0.05392095,0.063997746,-0.108267434,0.04406281,-0.1562423,0.044486962,0.08523661,-0.026967354,-0.008686777,-0.04268515,0.2584323,0.06864692,-0.18956858,-0.11458839,0.13946097
class 2,-0.10804348,-0.08358461,0.3385853,0.13698982,0.06908514,-0.27580607,-0.14790672,-0.08133418,-0.17393333,-0.08156403,-0.122791775,-0.050593223,0.062184937,-0.22246084,-0.21102668,-0.019191144,0.14518152,-0.18944043,0.07362751,-0.028005853,0.022108497,0.123400524,-0.17906432,-0.056895696,-0.22232755,0.21746437,-0.10044022,-0.05311722,0.13930865,0.25756893,-0.019886192,0.27535886,-0.029506758,0.14483055,0.23312765,0.0008189034,-0.12482307,0.16961214,0.097049974,-0.295207,-0.09321913,0.0052590347,0.050937522,-0.07224549,0.091361575,-0.14871271,0.14131118
class 3,-0.097960845,-0.13071558,0.04304238,0.09774174,-0.22800946,0.06141693,-0.17907175,0.1889511,-0.049117833,-0.019838678,-0.029360116,-0.08702626,0.038067963,-0.033365272,-0.017401319,0.004597676,-0.15707909,0.08028526,-0.112258606,-0.05084813,0.3418249,-0.0528099,0.07518185,0.10806867,-0.3492305,0.0442966,0.24932075,-0.1902813,-0.00077855994,-0.06017896,0.09408809,-0.09049636,0.034879163,-0.16285576,0.05640069,0.07495134,0.022060744,-0.09587203,0.09931825,0.08683,-0.0066941483,0.16355853,0.046145733,0.022075608,0.0004633765,-0.1620714,0.07417735
class 4,-0.10353815,0.10556552,-0.13706169,-0.052242804,0.32029372,-0.0330474,0.13049641,0.27087098,0.06040218,0.21079627,0.30502048,0.035026714,0.014042253,0.4512183,0.14096637,0.19171153,0.32341063,0.07207454,0.082422785,0.024493538,-0.7349087,-0.06161455,-0.019899806,-0.08438969,-0.103401154,-0.2835201,-0.4423918,-0.032073244,0.10112752,0.2538257,-0.41268766,-0.20620504,-0.3555436,-0.0028052044,0.11663217,-0.1087548,-0.20444784,0.4055449,-0.112142354,-0.13156056,0.1308467,-0.052312274,0.15102766,0.025413165,0.3705598,0.017276533,0.059095185
class 5,0.11073325,0.2595037,-0.0015937844,-0.3146315,-0.1635666,-0.07102867,0.068057954,-0.017600844,0.10604001,0.20905104,-0.06426995,0.12916872,0.14303927,-0.337109,-0.012378543,-0.075500675,-0.27826238,0.06638821,-0.07916719,0.32855576,0.25312987,-0.16952214,0.12748793,-0.2464209,0.22465393,-0.10813588,-0.03555327,-0.01106163,-0.094918296,-0.1815668,0.27822393,-0.012098744,0.5708127,-0.08865906,0.012622343,0.009805582,-0.017771598,-0.15592873,0.010199959,-0.27947468,0.080282345,-0.11571919,-0.042307887,0.16083978,0.18736504,0.27219963,0.029063571
class 6,0.25307354,-0.0105416365,-0.08335565,0.26759818,-0.10625376,0.06669417,0.13643612,-0.39085537,0.042395525,0.038736764,0.039967325,-0.48156977,-0.0043920013,0.2798148,0.16806394,-0.07591204,-0.073669694,0.18123183,-0.10494583,0.09635407,0.07834151,0.10616157,-0.3804567,-0.11273514,0.03881736,0.26109555,-0.17662366,0.10799226,-0.09872573,-0.37703016,0.06674794,0.14319557,0.20568267,-0.14711149,-0.065944046,0.2177446,-0.0645451,0.005912319,-0.013993741,0.41518703,0.013879965,0.07800221,-0.22050157,-0.054980136,-0.2822035,0.01568681,0.057669934
class 7,0.034691125,-0.12481191,0.09797984,-0.052867915,0.080201365,0.051812414,0.0036640402,-0.048589747,-0.16550605,-0.19032368,0.07142281,0.056926742,-0.21312381,-0.023796935,0.09317249,0.26336336,-0.049608096,0.07923967,0.16843095,0.014853903,0.0010071498,0.19873387,-0.11512986,0.25884128,0.14152089,0.13079351,0.10285849,0.029666673,0.013179709,-0.023325386,0.08005265,-0.17387994,-0.15986603,0.10042825,-0.09172407,0.101510726,0.06795198,-0.10117207,-0.081925325,0.17178187,-0.22825344,-0.15249307,-0.09788804,0.02621887,-0.04497266,0.056054108,-0.067237735
Average,0.015781859,0.020319326,0.034961253,0.011093216,0.023887949,-0.025783373,-0.04632986,-0.004046838,-0.054270353,0.015765075,0.040028475,-0.040520787,0.022453127,-0.0023367305,0.012717777,0.02462348,-0.027201442,0.034341305,-0.014847687,0.062264208,-0.00984983,0.057126578,-0.045856934,-0.005305878,-0.03493594,0.06631374,-0.047673803,-0.02206551,0.0057897456,-0.022698317,0.006165468,-0.017259227,0.04576844,-0.013167852,0.02183533,0.048591312,-0.0682596,0.0389405,0.011963339,-0.008487241,-0.015977785,-0.016627131,0.020835103,0.02513839,0.019000726,-0.009165063,0.061934352
