,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.03810449,0.10692043,-0.091666624,-0.05173429,0.12611234,-0.024973484,-0.13098602,-0.12679885,0.005412813,-0.067705676,-0.0924466,0.13277383,-0.15854664,-0.14556906,-0.07484695,-0.12809952,-0.07071163,0.04071395,-0.08200563,-0.0025916868,-0.05527151,0.11645243,-0.13277012,0.0942514,0.015929356,-0.049293946,0.021263933,-0.1531124,-0.107159466,0.091132835,-0.08216088,0.10306271,-0.11138981,0.1275128,-0.14074075,0.025343543,0.090864055,0.04022994,-0.011630137,-0.1210417,0.09971563,-0.013584314,0.067505494,-0.101711236,-0.058824003,-0.046609968,0.08633747
class 2,-0.021052403,0.036533758,-0.22989833,0.052818734,0.055036113,0.018735996,0.06676824,0.050031647,-0.0062111644,0.0045998795,-0.15896921,-0.07611705,-0.13353886,-0.15258738,-0.09990606,-0.11294551,-0.1415896,-0.18583749,-0.032304987,-0.104499996,-0.122296706,0.04439163,-0.055256147,0.091665745,-0.10960863,-0.17455223,-0.09278859,0.024609568,0.041841727,0.019222148,0.03501483,-0.10503962,-0.08540667,0.03762607,-0.07529144,-0.06742563,-0.04425397,-0.088061206,-0.15609746,-0.0029865715,-0.1620669,-0.16873077,0.009203759,-0.10504025,-0.18455045,0.0049602822,0.10521465
class 3,0.09583043,-0.115927525,-0.040342495,-0.02433038,-0.09287578,-0.029441532,-0.13475081,-0.04797561,-0.015446902,0.08375135,-0.041281153,-0.07114289,0.07714542,-0.07312272,0.09030116,0.13402906,-0.1560559,-0.09035495,0.008822505,-0.04794797,-0.03763713,0.07855624,0.121555775,0.103859074,-0.035062604,-0.06468151,0.0778153,0.060086813,0.07186274,-0.067879364,0.09998119,0.033395648,0.108797126,0.09865426,0.12150975,-0.08299426,-0.13947164,0.0740087,0.05055478,-0.08401743,-0.08231654,-0.15230219,-0.035054527,-0.124840796,-0.042864136,-0.14744236,0.0813764
class 4,-0.15386751,0.08746427,0.023750957,0.027554527,-0.036743596,-0.10394938,-0.05271808,0.06742904,-0.12188684,-0.11942793,0.0888718,0.09421307,-0.07164527,-0.15253285,0.09238726,-0.11728259,-0.022116134,-0.028158031,-0.041174937,-0.12497889,0.07712972,-0.038841683,0.012203932,-0.08916319,0.067325436,0.13569662,-0.012289206,0.0837029,0.0006999156,0.19154298,-0.057991654,-0.1504752,-0.100768544,0.056980688,-0.057822302,0.10420123,-0.13325395,0.077058926,-0.11220189,-0.03786035,0.20859703,0.06541386,0.07661904,-0.07051655,-0.051695764,0.026113736,0.015167129
class 5,-0.15289728,0.071588114,-0.054219477,0.075369336,-0.0032039534,-0.032245677,0.09094369,-0.046720218,-0.14277679,0.11927462,-0.020747304,-0.09160016,0.100927055,-0.11728263,0.06858123,-0.07098213,-0.05858322,0.09640181,0.025943384,0.027480723,-0.03429376,0.12337436,0.062597975,0.04311105,0.13334198,-0.016067393,-0.0020135543,-0.123147234,-0.021855954,0.038557477,0.1166321,-0.0138625065,0.1453339,-0.069849186,-0.09042788,-0.10262608,0.119640894,-0.021587923,-0.08908144,-0.07490571,-0.076977916,0.04427505,0.0142358085,-0.12381056,-0.09353325,-0.1243308,-0.11452227
class 6,-0.066330515,0.059510853,0.011409634,-0.23275466,0.10266502,-0.13504358,-0.023441285,0.19700648,0.20152529,0.17286515,0.14183784,0.1054996,0.1736947,0.041870445,-0.084012315,-0.039621383,0.07426612,0.03621539,-0.08209569,-0.18580174,-0.032895196,-0.07064453,-0.15400067,-0.03525441,-0.22148857,-0.07949489,-0.0787949,-0.020978937,0.18062508,0.15324906,0.03933106,0.08507068,-0.2344858,0.18068597,-0.019508421,0.22931673,-0.29534224,-0.09730213,0.11467639,0.052847683,0.08067718,0.14551136,0.24800731,0.0028827072,0.03287488,0.16743125,0.16629647
class 7,0.23868652,-0.05141592,0.22722806,-0.061267335,0.055620115,-0.019753484,0.27587676,-0.54896766,0.14335284,-0.09372912,0.0521713,-0.17820561,0.04707755,0.15647328,0.09863476,-0.006879161,0.008467147,0.1234513,0.24994971,0.072217144,-0.062751636,0.026601007,-0.041085884,0.0959059,0.15841623,0.026423734,0.027985604,0.183551,-0.2667731,-0.25008446,-0.0101967435,-0.16451855,0.06855355,-0.2721508,-0.005354827,-0.29231456,0.17791367,0.03324078,0.09695983,0.057920516,0.057129484,-0.0193564,-0.22395143,-0.09227035,-0.12877369,-0.11971628,-0.011467046
Average,-0.013962181,0.02781057,-0.021962615,-0.03062058,0.029515753,-0.046667308,0.01309893,-0.06514217,0.009138463,0.014232612,-0.004366192,-0.012082743,0.005016282,-0.06325013,0.013019869,-0.04882589,-0.05233189,-0.0010811463,0.0067334794,-0.052303202,-0.03828803,0.039984208,-0.026679305,0.04348222,0.0012647446,-0.031709947,-0.008403058,0.007815959,-0.014394151,0.025105808,0.020087127,-0.030338122,-0.029909464,0.022779971,-0.038233694,-0.02664272,-0.03198617,0.0025124412,-0.01525999,-0.03000622,0.017822566,-0.014110484,0.022366494,-0.08790101,-0.07533806,-0.034227733,0.04691469
