,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.06125329,0.015290768,0.14003786,-0.021451866,0.030570135,0.15304446,-0.076602854,-0.048641223,-0.43759954,0.010017734,0.029369978,0.090914056,0.17041634,-0.17617,0.22357103,-0.10324145,0.3340605,-0.18761538,-0.2724007,-0.18899196,-0.11748558,0.0601136,0.10521653,0.28003958,-0.28268197,-0.27165547,0.12575464,-0.03549648,-0.15692706,0.6629597,-0.03923244,0.051273227,-0.21772653,-0.35213804,-0.2921078,0.08284242,-0.07666055,0.11667782,0.21595684,0.0018579249,-0.11711449,0.26460722,-0.058872387,0.23804899,-0.09981728,-0.14268112,0.06951155
class 2,0.07962337,0.09689874,0.24676643,-0.1536985,-0.13961755,0.093544364,0.0870676,0.040268395,-0.005428209,-0.15883936,0.42468873,0.047634654,0.1333851,-0.38481462,0.4865816,-0.12868682,-0.36885017,0.06000151,0.077819094,-0.46985513,0.38287887,0.025614453,0.18045011,-0.1118682,-0.011425033,-0.01951511,-0.12042906,-0.30964082,-0.12692226,0.08890071,0.19978012,0.2446991,0.4923176,-0.15905465,-0.094575554,0.17927173,0.16317086,-0.43342465,-0.20100783,0.27898088,-0.10544321,-0.20128962,0.035160143,-0.005233215,-0.06173579,-0.32042715,-0.050681457
class 3,-0.09922918,-0.014228226,-0.090432554,0.046116583,0.3217806,-0.059556004,-0.13065635,-0.077879295,0.13052267,0.12793237,-0.33198547,0.21887128,0.15334973,-0.081890985,0.02512439,-0.0027609223,-0.0856111,0.34687245,-0.13303193,0.16077939,-0.16121694,-0.2801318,-0.11545144,-0.051178202,-0.054503214,0.19075818,0.20389725,-0.076870635,0.08717143,0.18302959,-0.07009001,0.018046884,0.1715587,-0.0999517,0.1431712,-0.037144523,0.04520285,-0.24517222,-0.022840088,-0.13934985,0.04067218,-0.093246564,0.08766239,-0.029704751,0.096539564,0.00637211,0.062291984
class 4,0.07074192,0.16836745,0.1450509,-0.05214085,0.085782856,0.0857959,0.03631524,0.098856814,-0.1369425,0.09440038,-0.5007534,-0.00072789256,0.037771747,0.09444182,0.37768185,-0.6887216,-0.1344277,0.29688373,-0.30942446,0.30934533,-0.4535978,-0.10310462,0.2946125,-0.29129544,0.13560383,-0.15578046,0.14975204,-0.13470067,-0.101246364,0.1239285,-0.1736035,0.14946613,-0.04017915,0.15671499,-0.25721678,0.02320452,-0.21485944,0.040962778,0.123136625,-0.060518153,0.20477526,-0.091084175,0.2458939,0.27404225,0.13836941,-0.04589422,-0.05848213
class 5,-0.2309855,-0.30741322,0.032343823,0.12597008,0.039435573,-0.18852995,0.029244358,0.23737012,0.08240739,0.25128537,0.6188262,-0.6738102,0.08877452,-0.19502743,0.081048705,-0.28062567,-0.07558597,0.104317956,0.018634409,-0.20448837,-0.27072418,-0.20293294,-0.15067977,-0.052622907,-0.0466467,0.4289921,-0.18722226,-0.25879294,0.24048942,-0.06679227,0.052987803,0.34177035,-0.25701636,0.5012875,0.20251152,0.010965613,-0.4641406,0.25343445,0.61158323,0.024379088,-0.07805345,0.18238257,0.011494001,0.11632373,0.110347174,0.13405363,0.2865609
class 6,0.015165034,-0.08617167,-0.15932679,0.030044094,0.21459705,0.034090884,-0.011255858,0.049702324,-0.057684407,0.018787067,0.8591662,0.14470121,0.10015567,0.018488549,-0.058599032,-0.38710085,0.08735715,-0.382155,0.35795695,-0.47928357,-0.03871685,-0.021545725,0.1150584,0.3162538,-0.3148068,0.023316042,-0.14238313,-0.25201926,-0.018675888,-0.1275557,-0.317677,0.09649987,0.013598784,0.56747645,-0.0043629184,-0.086284116,0.20503904,0.17580982,0.55857885,-0.013550403,-0.12244718,0.17390826,-0.24058378,0.0077877687,-0.14666566,0.25139454,0.06677866
class 7,-0.02930264,0.21107194,-0.11191599,0.1265703,0.10493167,0.18176666,-0.05504063,-0.17913532,0.225728,0.14294769,-0.5528603,-0.3099896,0.04790169,-0.054908384,0.08462176,0.13516465,0.5122573,-0.080165,0.05334498,0.31507364,0.04741496,-0.19473793,0.36600617,-0.03910522,0.23859473,-0.029578352,-0.1882811,-0.44334465,0.14077212,-0.25136566,-0.2046713,-0.058371615,-0.26532274,-0.031462573,-0.0027291512,0.0127632115,-0.028629588,-0.0052938955,-0.13212916,-0.16782428,0.14653985,0.13541241,-0.4095348,-0.15481979,0.039917856,0.09367995,0.11929223
class 8,0.014954517,0.10573184,-0.32368344,-0.27196425,-0.034194652,0.1832397,-0.01563591,-0.21020009,-0.055818066,-0.30836424,-0.03233464,0.2859965,0.046705347,0.07031349,-0.22443978,0.5633131,0.15080698,-0.24865642,0.3219996,0.059235603,0.32246473,-0.19742715,-0.0074818167,-0.19375661,0.196962,0.22133179,-0.06282634,0.23095632,-0.3724987,0.017180327,0.0858027,-0.26333216,0.31551197,-0.27935338,0.07599567,0.27954856,0.2908003,-0.09162547,-0.7050787,0.16325274,0.08743193,-0.08873766,0.28020972,-0.108697526,-0.003654066,-0.010719188,-0.33601597
class 9,0.07583088,-0.1686908,0.24104857,0.09182884,-0.2846145,-0.06566714,-0.042866085,-0.046246137,0.04585669,0.3010557,0.09077285,0.44094086,-0.17981738,0.4212445,-0.6451688,0.63887554,-0.39715925,0.33105165,-0.07540771,0.41822293,0.2704655,0.40151742,-0.50159836,0.042800948,0.18541637,-0.08639571,-0.11308842,0.88266885,-0.08107434,-0.098468706,-0.11582629,-0.44785577,-0.12731372,-0.2093879,0.06359011,-0.2604571,0.16243292,0.039577074,-0.4346728,0.029709162,-0.029291872,-0.19433835,-0.028016794,-0.06659893,-0.36103955,-0.18889037,-0.14781895
Average,-0.0046609235,0.002317422,0.013320981,-0.008747284,0.037630126,0.046414323,-0.01993672,-0.01510049,-0.02321755,0.053246967,0.067210026,0.027170096,0.06651586,-0.032035895,0.038935762,-0.028198222,0.0025386314,0.026726166,0.0043878076,-0.008884688,-0.0020574827,-0.056959406,0.03179248,-0.011192471,0.00516813,0.033497,-0.037202932,-0.04413781,-0.0432124,0.059090715,-0.06472555,0.014688445,0.009492063,0.010458972,-0.018413741,0.022745589,0.009150643,-0.01656159,0.0015029808,0.0129930135,0.0030076706,0.009734899,-0.008509734,0.030127615,-0.031970926,-0.024790198,0.0012707545
